1 1:0.257883 2:0.347735 3:0.633456 4:0.437637 
1 1:0.331011 2:0.41523 3:0.635497 4:0.437485 
1 1:0.257852 2:0.347329 3:0.633652 4:0.437252 
1 1:0.199801 2:0.314042 3:0.558232 4:0.401716 
1 1:0.258646 2:0.34762 3:0.634931 4:0.437659 
1 1:0.260053 2:0.347501 3:0.63653 4:0.437411 
1 1:0.260054 2:0.348294 3:0.636575 4:0.438305 
1 1:0.258821 2:0.348213 3:0.634831 4:0.438197 
1 1:0.256433 2:0.347947 3:0.631821 4:0.437918 
1 1:0.2593 2:0.348273 3:0.635526 4:0.438265 
1 1:0.260057 2:0.348295 3:0.636578 4:0.438306 
1 1:0.255587 2:0.347277 3:0.630525 4:0.437165 
1 1:0.260029 2:0.348278 3:0.636493 4:0.438268 
1 1:0.259945 2:0.348218 3:0.636431 4:0.438231 
1 1:0.257759 2:0.345351 3:0.633513 4:0.435108 
1 1:0.307041 2:0.362723 3:0.636418 4:0.43826 
1 1:0.259727 2:0.348206 3:0.63606 4:0.438184 
1 1:0.259976 2:0.348283 3:0.636444 4:0.438279 
1 1:0.25982 2:0.34823 3:0.636307 4:0.438239 
1 1:0.259109 2:0.347381 3:0.664825 4:0.460698 
1 1:0.280507 2:0.376596 3:0.663065 4:0.468457 
1 1:0.260052 2:0.347433 3:0.636572 4:0.443023 
1 1:0.260053 2:0.348294 3:0.636531 4:0.438288 
1 1:0.25953 2:0.348294 3:0.635857 4:0.438289 
1 1:0.259422 2:0.347267 3:0.635744 4:0.437237 
1 1:0.265914 2:0.34831 3:0.636238 4:0.438289 
1 1:0.257485 2:0.347541 3:0.63318 4:0.437482 
1 1:0.259542 2:0.348179 3:0.635859 4:0.438164 
1 1:0.25841 2:0.347506 3:0.634423 4:0.437458 
1 1:0.259849 2:0.348115 3:0.636269 4:0.438101 
1 1:0.313159 2:0.348311 3:0.705552 4:0.438306 
1 1:0.0936451 2:0.3187 3:0.420295 4:0.406692 
1 1:0.26003 2:0.348292 3:0.636529 4:0.438289 
1 1:0.258526 2:0.348047 3:0.634423 4:0.438009 
1 1:0.260045 2:0.348295 3:0.636528 4:0.43829 
1 1:0.259423 2:0.348295 3:0.670604 4:0.438306 
1 1:0.259786 2:0.348295 3:0.636214 4:0.43829 
1 1:0.247675 2:0.3474 3:0.620465 4:0.437336 
1 1:0.259293 2:0.348295 3:0.635571 4:0.43829 
1 1:0.259913 2:0.348249 3:0.636356 4:0.438242 
1 1:0.259221 2:0.3481 3:0.635395 4:0.438071 
1 1:0.167884 2:0.299521 3:0.516915 4:0.386281 
1 1:0.171471 2:0.296244 3:0.521075 4:0.382548 
1 1:0.260137 2:0.348338 3:0.636601 4:0.438319 
1 1:0.259936 2:0.348231 3:0.636286 4:0.438181 
1 1:0.253514 2:0.346448 3:0.627733 4:0.436248 
1 1:0.348951 2:0.382032 3:0.636043 4:0.438136 
1 1:0.257746 2:0.347795 3:0.633322 4:0.437718 
1 1:0.259172 2:0.347437 3:0.635343 4:0.437339 
1 1:0.259631 2:0.348115 3:0.63596 4:0.438089 
1 1:0.260057 2:0.348295 3:0.636327 4:0.4382 
1 1:0.186699 2:0.318677 3:0.541247 4:0.406679 
1 1:0.34781 2:0.381786 3:0.635571 4:0.437987 
1 1:0.0921204 2:0.281299 3:0.418381 4:0.366782 
1 1:0.0844587 2:0.318662 3:0.408241 4:0.406635 
1 1:0.260045 2:0.348278 3:0.553521 4:0.342478 
1 1:0.302229 2:0.40107 3:0.636116 4:0.437858 
1 1:0.259666 2:0.34812 3:0.636021 4:0.438101 
1 1:0.48086 2:0.396294 3:0.636382 4:0.438262 
1 1:0.260136 2:0.348356 3:0.636606 4:0.438334 
1 1:0.259865 2:0.348216 3:0.753875 4:0.47815 
1 1:0.151275 2:0.299239 3:0.495318 4:0.385965 
1 1:0.33846 2:0.386828 3:0.636499 4:0.438275 
1 1:0.407226 2:0.411693 3:0.636589 4:0.438309 
1 1:0.260713 2:0.348925 3:0.636528 4:0.438284 
1 1:0.260158 2:0.348365 3:0.744286 4:0.49978 
1 1:0.260124 2:0.348315 3:0.636523 4:0.438287 
1 1:0.434891 2:0.397576 3:0.636539 4:0.438291 
1 1:0.260198 2:0.348395 3:0.636466 4:0.438249 
1 1:0.396053 2:0.443646 3:0.636509 4:0.438275 
1 1:0.457443 2:0.417808 3:0.636571 4:0.4383 
1 1:0.260525 2:0.348592 3:0.636649 4:0.438349 
1 1:0.260279 2:0.348408 3:0.636615 4:0.438323 
1 1:0.330947 2:0.385742 3:0.636416 4:0.438238 
1 1:0.289702 2:0.402308 3:0.636518 4:0.438263 
1 1:0.385657 2:0.414851 3:0.63648 4:0.438266 
1 1:0.447308 2:0.413639 3:0.636603 4:0.438309 
1 1:0.328279 2:0.422365 3:0.636491 4:0.43825 
1 1:0.260308 2:0.348334 3:0.636517 4:0.438287 
1 1:0.343907 2:0.45615 3:0.636559 4:0.438314 
1 1:0.514389 2:0.428226 3:0.636383 4:0.438251 
1 1:0.260281 2:0.34839 3:0.636526 4:0.438287 
1 1:0.493754 2:0.398041 3:0.636552 4:0.438293 
1 1:0.260049 2:0.348294 3:0.636452 4:0.438279 
1 1:0.260316 2:0.348477 3:0.636546 4:0.438296 
1 1:0.939731 2:0.408356 3:0.636464 4:0.438285 
1 1:0.260346 2:0.348493 3:0.636294 4:0.438154 
1 1:0.260428 2:0.348385 3:0.636693 4:0.438321 
1 1:0.509287 2:0.475283 3:0.63643 4:0.438246 
1 1:0.331276 2:0.405627 3:0.636586 4:0.438323 
1 1:0.260084 2:0.348329 3:0.636533 4:0.438287 
1 1:0.260208 2:0.348315 3:0.636933 4:0.438332 
1 1:0.260234 2:0.348482 3:0.636485 4:0.438246 
1 1:0.260297 2:0.348362 3:0.636575 4:0.438299 
1 1:0.260022 2:0.348286 3:0.636531 4:0.438289 
1 1:0.260162 2:0.348513 3:0.636517 4:0.438258 
1 1:0.297754 2:0.407706 3:0.636561 4:0.438323 
1 1:0.260091 2:0.348337 3:0.636541 4:0.438296 
1 1:0.260023 2:0.348285 3:0.636512 4:0.438284 
1 1:0.260067 2:0.348302 3:0.636548 4:0.438297 
1 1:0.26014 2:0.348331 3:0.636515 4:0.438283 
1 1:0.260229 2:0.348334 3:0.636616 4:0.438305 
1 1:0.636605 2:0.411579 3:0.636349 4:0.438264 
1 1:0.26014 2:0.348359 3:0.636585 4:0.438321 
1 1:0.260153 2:0.348432 3:0.636543 4:0.438299 
1 1:0.260172 2:0.348344 3:0.636474 4:0.438269 
1 1:0.260147 2:0.348312 3:0.636506 4:0.438286 
1 1:0.260084 2:0.34831 3:0.636392 4:0.438225 
1 1:0.261066 2:0.348489 3:0.636482 4:0.438281 
1 1:0.260187 2:0.34835 3:0.636585 4:0.438307 
1 1:0.260316 2:0.348517 3:0.636606 4:0.438339 
1 1:0.260031 2:0.348279 3:0.636521 4:0.438282 
1 1:0.516573 2:0.385896 3:0.636539 4:0.43829 
1 1:0.450296 2:0.407605 3:0.636599 4:0.438306 
1 1:0.260302 2:0.348377 3:0.6365 4:0.43828 
1 1:0.260421 2:0.348369 3:0.636645 4:0.438308 
1 1:0.260313 2:0.348335 3:0.636593 4:0.438297 
1 1:0.358527 2:0.418191 3:0.636608 4:0.438332 
1 1:0.261637 2:0.3485 3:0.636778 4:0.438316 
1 1:0.260766 2:0.348466 3:0.63647 4:0.438277 
1 1:0.260284 2:0.348325 3:0.636602 4:0.438297 
1 1:0.260247 2:0.348305 3:0.636025 4:0.43827 
1 1:0.260089 2:0.348334 3:0.6366 4:0.438353 
1 1:0.342757 2:0.415956 3:0.636409 4:0.438205 
1 1:0.260256 2:0.348403 3:0.636546 4:0.438295 
1 1:0.260172 2:0.348326 3:0.636518 4:0.438286 
1 1:0.260316 2:0.348331 3:0.636437 4:0.438279 
1 1:0.26009 2:0.348303 3:0.636559 4:0.438294 
1 1:0.585359 2:0.403452 3:0.636437 4:0.438276 
1 1:0.260119 2:0.348387 3:0.636506 4:0.438254 
1 1:0.425783 2:0.40089 3:0.636385 4:0.438251 
1 1:0.372546 2:0.38002 3:0.636443 4:0.438268 
1 1:0.260411 2:0.348331 3:0.636682 4:0.438302 
1 1:0.260285 2:0.348354 3:0.63647 4:0.438276 
1 1:0.260234 2:0.348333 3:0.63629 4:0.438247 
1 1:0.33076 2:0.387407 3:0.636633 4:0.438334 
1 1:0.328931 2:0.407553 3:0.636541 4:0.438294 
1 1:0.260264 2:0.34838 3:0.636593 4:0.438309 
1 1:0.260138 2:0.348366 3:0.636542 4:0.438295 
1 1:0.25992 2:0.348246 3:0.636261 4:0.438209 
1 1:0.260052 2:0.348294 3:0.636758 4:0.438325 
1 1:0.26019 2:0.348328 3:0.636547 4:0.438292 
1 1:0.260797 2:0.348481 3:0.636508 4:0.438284 
1 1:0.260175 2:0.348412 3:0.636521 4:0.438278 
1 1:0.383085 2:0.407828 3:0.636608 4:0.438319 
1 1:0.260597 2:0.348755 3:0.636535 4:0.43829 
1 1:0.45099 2:0.510055 3:0.636504 4:0.438268 
1 1:0.375855 2:0.434006 3:0.636572 4:0.438312 
1 1:0.260155 2:0.348353 3:0.636545 4:0.438295 
1 1:0.368097 2:0.410243 3:0.636614 4:0.438327 
1 1:0.427757 2:0.398437 3:0.636851 4:0.438367 
1 1:0.51099 2:0.410711 3:0.636643 4:0.438312 
1 1:0.458539 2:0.394572 3:0.636543 4:0.438291 
1 1:0.413989 2:0.40397 3:0.636539 4:0.438291 
1 1:0.260039 2:0.348292 3:0.636448 4:0.438279 
1 1:0.260313 2:0.348413 3:0.636707 4:0.438355 
1 1:0.260271 2:0.348337 3:0.636587 4:0.438298 
1 1:0.260081 2:0.348302 3:0.636529 4:0.438288 
1 1:0.436686 2:0.390566 3:0.636651 4:0.438313 
1 1:0.260163 2:0.348328 3:0.636517 4:0.438285 
1 1:0.260295 2:0.348334 3:0.636834 4:0.438329 
1 1:0.260231 2:0.348383 3:0.636466 4:0.438261 
1 1:0.260087 2:0.348323 3:0.636554 4:0.438304 
1 1:0.410446 2:0.424138 3:0.636514 4:0.438281 
1 1:0.355099 2:0.378694 3:0.636421 4:0.43826 
1 1:0.332097 2:0.427801 3:0.63617 4:0.437959 
1 1:0.305776 2:0.38346 3:0.636527 4:0.438284 
1 1:0.617754 2:0.399671 3:0.636454 4:0.43828 
1 1:0.260128 2:0.348301 3:0.636506 4:0.438288 
1 1:0.0810177 2:0.309789 3:0.403795 4:0.397161 
1 1:0.260139 2:0.348307 3:0.636554 4:0.438292 
1 1:0.260048 2:0.348292 3:0.636522 4:0.438286 
1 1:0.260174 2:0.348345 3:0.636563 4:0.438299 
1 1:0.260141 2:0.348322 3:0.636546 4:0.438293 
1 1:0.260091 2:0.348303 3:0.63663 4:0.438308 
1 1:0.260071 2:0.348308 3:0.636511 4:0.43827 
1 1:0.26006 2:0.348296 3:0.636469 4:0.438272 
1 1:0.407537 2:0.380144 3:0.636419 4:0.438269 
1 1:0.0960056 2:0.29443 3:0.423193 4:0.380734 
1 1:0.260228 2:0.348328 3:0.636459 4:0.438278 
1 1:0.260271 2:0.348383 3:0.63654 4:0.438291 
1 1:0.400014 2:0.415528 3:0.636709 4:0.438358 
1 1:0.260265 2:0.348355 3:0.636515 4:0.438285 
1 1:0.434651 2:0.410184 3:0.636571 4:0.4383 
1 1:0.260134 2:0.348362 3:0.636707 4:0.438414 
1 1:0.259983 2:0.348282 3:0.63625 4:0.438249 
1 1:0.260313 2:0.348362 3:0.636785 4:0.438344 
1 1:0.260136 2:0.348436 3:0.636552 4:0.438315 
1 1:0.260057 2:0.348294 3:0.636501 4:0.438208 
1 1:0.421685 2:0.412891 3:0.636544 4:0.438293 
1 1:0.457093 2:0.474498 3:0.636559 4:0.438302 
1 1:0.337464 2:0.422038 3:0.737064 4:0.516979 
1 1:0.637002 2:0.396988 3:0.636661 4:0.438303 
1 1:0.26006 2:0.348296 3:0.636548 4:0.438293 
1 1:0.260123 2:0.348343 3:0.63662 4:0.438341 
1 1:0.260099 2:0.348318 3:0.636457 4:0.438255 
1 1:0.260195 2:0.348402 3:0.636527 4:0.438284 
1 1:0.260005 2:0.348266 3:0.636485 4:0.438267 
1 1:0.260194 2:0.348344 3:0.636566 4:0.438299 
1 1:0.260044 2:0.348289 3:0.755034 4:0.487367 
1 1:0.649259 2:0.39312 3:0.636512 4:0.438288 
1 1:0.260075 2:0.348298 3:0.636413 4:0.438278 
1 1:0.342966 2:0.434576 3:0.636683 4:0.438416 
1 1:0.260045 2:0.348281 3:0.63654 4:0.438294 
1 1:0.260096 2:0.348304 3:0.636435 4:0.438273 
1 1:0.26009 2:0.348318 3:0.636482 4:0.438259 
1 1:0.1331 2:0.311892 3:0.471746 4:0.399467 
1 1:0.259612 2:0.348143 3:0.636125 4:0.438175 
1 1:0.260159 2:0.348315 3:0.636683 4:0.438314 
1 1:0.260067 2:0.348306 3:0.636519 4:0.438274 
1 1:0.26027 2:0.34835 3:0.636561 4:0.438295 
1 1:0.260158 2:0.348342 3:0.636603 4:0.438316 
1 1:0.36771 2:0.416438 3:0.636635 4:0.438342 
1 1:0.260016 2:0.348282 3:0.636519 4:0.438286 
1 1:0.260152 2:0.348306 3:0.636823 4:0.438315 
1 1:0.260081 2:0.348312 3:0.63657 4:0.43831 
1 1:0.260053 2:0.348294 3:0.63661 4:0.438309 
1 1:0.588783 2:0.407369 3:0.636744 4:0.438321 
1 1:0.260111 2:0.34831 3:0.636641 4:0.438314 
1 1:0.260163 2:0.348326 3:0.636487 4:0.438278 
1 1:0.312011 2:0.394332 3:0.636574 4:0.438318 
1 1:0.664705 2:0.494341 3:0.636802 4:0.438369 
1 1:0.260504 2:0.348436 3:0.636574 4:0.4383 
1 1:0.397521 2:0.371322 3:0.636506 4:0.438286 
1 1:0.260436 2:0.348401 3:0.636862 4:0.438365 
1 1:0.260288 2:0.348438 3:0.6365 4:0.438272 
1 1:0.0622833 2:0.276896 3:0.379816 4:0.362141 
1 1:0.259773 2:0.348132 3:0.636086 4:0.438078 
1 1:0.26 2:0.34826 3:0.636518 4:0.438281 
1 1:0.260075 2:0.348302 3:0.636404 4:0.43825 
1 1:0.463912 2:0.406491 3:0.636503 4:0.438282 
1 1:0.259783 2:0.348254 3:0.636163 4:0.438244 
1 1:0.260069 2:0.348304 3:0.636605 4:0.438335 
1 1:0.260029 2:0.348289 3:0.636477 4:0.43828 
1 1:0.164967 2:0.30658 3:0.512948 4:0.393743 
1 1:0.452497 2:0.404978 3:0.636662 4:0.438321 
1 1:0.260018 2:0.34827 3:0.636426 4:0.438232 
1 1:0.39706 2:0.419427 3:0.636503 4:0.438276 
1 1:0.336725 2:0.406866 3:0.636695 4:0.43839 
1 1:0.260226 2:0.348341 3:0.636771 4:0.438342 
1 1:0.474657 2:0.398385 3:0.636866 4:0.438353 
1 1:0.260158 2:0.348329 3:0.636455 4:0.438268 
1 1:0.26021 2:0.348319 3:0.636676 4:0.438308 
1 1:0.260057 2:0.348295 3:0.63655 4:0.438299 
1 1:0.259977 2:0.348265 3:0.636557 4:0.438297 
1 1:0.260071 2:0.3483 3:0.636631 4:0.438319 
1 1:0.261055 2:0.348335 3:0.636823 4:0.438299 
1 1:0.260057 2:0.348295 3:0.636592 4:0.438303 
1 1:0.465754 2:0.459709 3:0.636437 4:0.438246 
1 1:0.383116 2:0.423352 3:0.63649 4:0.438267 
1 1:0.260031 2:0.348242 3:0.636504 4:0.438239 
1 1:0.260712 2:0.348691 3:0.636571 4:0.438307 
1 1:0.260144 2:0.34833 3:0.636507 4:0.43828 
1 1:0.260314 2:0.348475 3:0.636602 4:0.438328 
1 1:0.260098 2:0.348312 3:0.636785 4:0.438374 
1 1:0.410206 2:0.440769 3:0.636554 4:0.438299 
1 1:0.540388 2:0.407737 3:0.636463 4:0.438277 
1 1:0.260261 2:0.348348 3:0.636935 4:0.438374 
1 1:-0.21482 2:0.286202 3:0.0190422 4:0.37195 
1 1:0.260095 2:0.348321 3:0.636392 4:0.43821 
1 1:0.25977 2:0.347859 3:0.636101 4:0.437746 
1 1:0.260491 2:0.348353 3:0.636137 4:0.438246 
1 1:0.26015 2:0.348338 3:0.636657 4:0.438336 
1 1:0.427877 2:0.407242 3:0.636542 4:0.438292 
1 1:0.260076 2:0.348301 3:0.395045 4:0.375353 
1 1:0.260088 2:0.348344 3:0.636604 4:0.438379 
1 1:0.259974 2:0.348265 3:0.636278 4:0.438213 
1 1:0.260187 2:0.348343 3:0.63681 4:0.438373 
1 1:0.344015 2:0.447794 3:0.636412 4:0.43817 
1 1:0.260054 2:0.348293 3:0.636378 4:0.438187 
1 1:0.120015 2:0.251222 3:0.454614 4:0.334679 
1 1:0.259966 2:0.348273 3:0.635896 4:0.438164 
1 1:0.25962 2:0.347819 3:0.636123 4:0.437921 
1 1:0.387284 2:0.398688 3:0.636366 4:0.438235 
1 1:0.260464 2:0.348468 3:0.329286 4:0.331471 
1 1:0.259949 2:0.348224 3:0.63624 4:0.438131 
1 1:0.365821 2:0.415383 3:0.636238 4:0.438135 
1 1:0.259715 2:0.347871 3:0.636068 4:0.437814 
1 1:0.260067 2:0.348302 3:0.636563 4:0.438305 
1 1:0.259662 2:0.348089 3:0.635819 4:0.437983 
1 1:0.259769 2:0.348249 3:0.313393 4:0.395296 
1 1:0.259771 2:0.348122 3:0.635977 4:0.438012 
1 1:0.260157 2:0.348368 3:0.449247 4:0.325339 
