1 1:0.259727 2:0.34799 3:0.636121 4:0.437975 
1 1:0.260056 2:0.347739 3:0.636535 4:0.437755 
1 1:0.26011 2:0.348316 3:0.636643 4:0.438324 
1 1:0.260057 2:0.348295 3:0.636558 4:0.438305 
1 1:0.260036 2:0.348277 3:0.636527 4:0.438284 
1 1:0.259641 2:0.347979 3:0.671859 4:0.460324 
1 1:0.281352 2:0.366032 3:0.664154 4:0.457191 
1 1:0.258539 2:0.347319 3:0.634467 4:0.437197 
1 1:-0.416758 2:-1 3:-0.242181 4:-1 
1 1:0.286558 2:0.420982 3:0.636137 4:0.437391 
1 1:0.259164 2:0.34778 3:0.635332 4:0.437719 
1 1:0.241473 2:0.346634 3:0.612705 4:0.43654 
1 1:0.282796 2:0.360583 3:0.666021 4:0.451382 
1 1:0.258468 2:0.347282 3:0.634483 4:0.437214 
1 1:0.256623 2:0.346392 3:0.761972 4:0.495398 
1 1:0.259986 2:0.348209 3:0.636479 4:0.438233 
1 1:0.258561 2:0.347039 3:0.634569 4:0.436934 
1 1:0.259834 2:0.347936 3:0.63625 4:0.437912 
1 1:0.259953 2:0.348234 3:0.636385 4:0.438217 
1 1:0.25967 2:0.347977 3:0.635991 4:0.437921 
1 1:0.26009 2:0.404255 3:0.636535 4:0.437101 
1 1:0.259503 2:0.34784 3:0.635861 4:0.437835 
1 1:0.260051 2:0.348292 3:0.561444 4:0.400551 
1 1:0.260056 2:0.347596 3:0.636534 4:0.437431 
1 1:0.252371 2:0.3471 3:0.626637 4:0.437025 
1 1:0.323221 2:0.365652 3:0.718624 4:0.456824 
1 1:0.243714 2:0.346106 3:0.819258 4:0.458397 
1 1:0.259372 2:0.346187 3:0.635633 4:0.436009 
1 1:-0.537295 2:0.280859 3:-0.398529 4:0.366363 
1 1:0.259424 2:0.345462 3:0.635712 4:0.435262 
1 1:0.254303 2:0.345312 3:0.629038 4:0.435096 
1 1:0.259232 2:0.34791 3:0.635462 4:0.437878 
1 1:0.319335 2:0.452734 3:0.636357 4:0.438032 
1 1:0.258591 2:0.346585 3:0.634433 4:0.436275 
1 1:0.163623 2:0.327918 3:0.511328 4:0.416551 
1 1:0.259604 2:0.347486 3:0.635869 4:0.437312 
1 1:0.259238 2:0.347766 3:0.635393 4:0.437684 
1 1:0.260057 2:0.348228 3:0.636535 4:0.438232 
1 1:0.25349 2:0.345692 3:0.628176 4:0.435567 
1 1:0.253465 2:0.344069 3:0.628048 4:0.43382 
1 1:0.250278 2:0.34588 3:0.624027 4:0.435752 
1 1:0.259388 2:0.348131 3:0.692214 4:0.449511 
1 1:0.25998 2:0.348249 3:0.63645 4:0.438248 
1 1:0.259964 2:0.348205 3:0.636405 4:0.438186 
1 1:0.259258 2:0.347821 3:0.635473 4:0.437772 
1 1:0.259192 2:0.347939 3:0.63542 4:0.437912 
1 1:0.25943 2:0.348045 3:0.63559 4:0.43798 
1 1:0.259948 2:0.348136 3:0.636434 4:0.438169 
1 1:0.25987 2:0.348138 3:0.636305 4:0.438131 
1 1:0.259773 2:0.348091 3:0.636185 4:0.438083 
1 1:0.259711 2:0.347802 3:0.63603 4:0.437698 
1 1:0.259782 2:0.347906 3:0.636208 4:0.43791 
1 1:0.259342 2:0.347722 3:0.635596 4:0.437672 
1 1:0.260031 2:0.348282 3:0.636452 4:0.438256 
1 1:0.259652 2:0.347896 3:0.635769 4:0.437669 
1 1:0.258321 2:0.347222 3:0.634042 4:0.437024 
1 1:0.024766 2:-0.167963 3:0.331005 4:-0.112516 
1 1:0.257688 2:0.347574 3:0.633335 4:0.43749 
1 1:0.258487 2:0.347772 3:0.634533 4:0.437742 
1 1:0.258409 2:0.347825 3:0.708322 4:0.45513 
1 1:0.259914 2:0.348167 3:0.636358 4:0.438159 
1 1:0.258965 2:0.347865 3:0.698837 4:0.458464 
1 1:0.260046 2:0.348277 3:0.636529 4:0.438281 
1 1:0.259483 2:0.347575 3:0.635629 4:0.437356 
1 1:0.252525 2:0.342122 3:0.626694 4:0.431662 
1 1:0.258282 2:0.347801 3:0.634223 4:0.437761 
1 1:0.259709 2:0.347469 3:0.635939 4:0.437126 
1 1:0.260055 2:0.347568 3:0.636532 4:0.43752 
1 1:0.259256 2:0.34807 3:0.635565 4:0.438066 
1 1:0.259846 2:0.348129 3:0.636266 4:0.438116 
1 1:0.26002 2:0.348284 3:0.636448 4:0.438268 
1 1:0.260021 2:0.348285 3:0.636314 4:0.438236 
1 1:0.259166 2:0.347763 3:0.635335 4:0.4377 
1 1:0.259529 2:0.348154 3:0.63595 4:0.438161 
1 1:0.138641 2:0.326191 3:0.478954 4:0.414718 
1 1:0.26 2:0.348268 3:0.636476 4:0.438266 
1 1:0.258768 2:0.346272 3:0.6349 4:0.436181 
1 1:0.258451 2:0.347812 3:0.63441 4:0.437764 
1 1:0.260054 2:0.348291 3:0.636466 4:0.438228 
1 1:0.258854 2:0.347179 3:0.634782 4:0.436953 
1 1:0.259412 2:0.348073 3:0.6355 4:0.437997 
1 1:0.260083 2:0.348306 3:0.636596 4:0.43831 
1 1:0.259979 2:0.348265 3:0.636425 4:0.438254 
1 1:0.407116 2:0.386311 3:0.636603 4:0.438304 
1 1:0.260063 2:0.348298 3:0.636515 4:0.438282 
1 1:0.25942 2:0.347684 3:0.635515 4:0.437485 
1 1:0.259503 2:0.347972 3:0.635891 4:0.437981 
1 1:0.259898 2:0.348249 3:0.636274 4:0.438227 
1 1:0.260042 2:0.348282 3:0.636472 4:0.438243 
1 1:0.259943 2:0.348251 3:0.636517 4:0.438284 
1 1:0.259352 2:0.347927 3:0.635452 4:0.437825 
1 1:0.260099 2:0.348378 3:0.636571 4:0.438347 
1 1:0.26009 2:0.348346 3:0.5422 4:0.320596 
1 1:0.259565 2:0.345999 3:0.63589 4:0.435818 
1 1:0.335043 2:0.386395 3:0.636585 4:0.43831 
1 1:0.260021 2:0.348281 3:0.636474 4:0.43827 
1 1:0.25997 2:0.34818 3:0.636391 4:0.438134 
1 1:0.260041 2:0.34829 3:0.636587 4:0.438304 
1 1:0.259746 2:0.348027 3:0.636127 4:0.438 
1 1:0.260043 2:0.348269 3:0.636562 4:0.43833 
1 1:0.260116 2:0.348335 3:0.636565 4:0.438306 
1 1:0.260066 2:0.348305 3:0.636574 4:0.438326 
1 1:0.19562 2:0.282653 3:0.552923 4:0.368306 
1 1:0.260075 2:0.348312 3:0.636584 4:0.438328 
1 1:0.260148 2:0.34833 3:0.636695 4:0.43834 
1 1:0.200997 2:0.297559 3:0.559887 4:0.384189 
1 1:0.260288 2:0.348338 3:0.636742 4:0.438322 
1 1:0.259231 2:0.346061 3:0.63512 4:0.435145 
1 1:0.259729 2:0.348195 3:0.635896 4:0.438129 
1 1:0.255272 2:0.344356 3:0.629948 4:0.433835 
1 1:0.260015 2:0.348275 3:0.636363 4:0.438221 
1 1:0.260035 2:0.348279 3:0.636495 4:0.438266 
1 1:0.17877 2:0.297035 3:0.531031 4:0.383625 
1 1:0.259891 2:0.348099 3:0.636335 4:0.438095 
1 1:0.260096 2:0.348319 3:0.636635 4:0.43834 
1 1:0.25991 2:0.348235 3:0.636313 4:0.438215 
1 1:0.127268 2:0.295532 3:0.464278 4:0.382052 
1 1:0.260091 2:0.389443 3:0.636579 4:0.482212 
1 1:0.259917 2:0.348169 3:0.636427 4:0.438209 
1 1:0.260036 2:0.348287 3:0.636554 4:0.438296 
1 1:0.260036 2:0.348279 3:0.636412 4:0.438211 
1 1:0.26004 2:0.348288 3:0.636517 4:0.438283 
1 1:0.259995 2:0.348248 3:0.663115 4:0.45487 
1 1:0.342474 2:0.395159 3:0.634454 4:0.437318 
1 1:0.259962 2:0.348222 3:0.636457 4:0.43824 
1 1:0.260049 2:0.348284 3:0.636499 4:0.438251 
1 1:0.259975 2:0.348218 3:0.636389 4:0.438176 
1 1:0.223603 2:0.301488 3:0.589179 4:0.388329 
1 1:0.166729 2:0.322796 3:0.515447 4:0.411106 
1 1:0.260062 2:0.3483 3:0.636451 4:0.438231 
1 1:0.156612 2:0.301998 3:0.502051 4:0.388836 
1 1:0.256999 2:0.347459 3:0.632505 4:0.437384 
1 1:0.259991 2:0.348266 3:0.636487 4:0.438272 
1 1:0.141364 2:0.297356 3:0.482538 4:0.383987 
1 1:0.260038 2:0.348291 3:0.636519 4:0.438287 
1 1:0.260019 2:0.348267 3:0.636568 4:0.43831 
1 1:0.260018 2:0.348276 3:0.636461 4:0.43826 
1 1:0.171407 2:0.202337 3:0.521411 4:0.282551 
1 1:0.260046 2:0.348292 3:0.636614 4:0.43831 
1 1:0.258631 2:0.347415 3:0.634436 4:0.437225 
1 1:0.259046 2:0.347635 3:0.635214 4:0.437581 
1 1:-0.112545 2:0.200695 3:0.152899 4:0.280875 
1 1:0.260009 2:0.348253 3:0.636505 4:0.438268 
1 1:0.260024 2:0.348271 3:0.636453 4:0.43824 
1 1:0.25111 2:0.347058 3:0.624467 4:0.436919 
1 1:0.25599 2:0.347257 3:0.63116 4:0.437162 
