1	1:-167	2:-150	3:-155	4:-153	5:-198	6:-193	
1	1:-190	2:-114	3:-139	4:-154	5:-171	6:-186	
1	1:-69	2:-12	3:-29	4:-21	5:-35	6:-48	
1	1:-35	2:-32	3:115	4:-36	5:-47	6:-49	
1	1:135	2:15	3:135	4:-9	5:-18	6:-51	
1	1:-140	2:0	3:0	4:-152	5:-159	6:-170	
1	1:-6	2:-30	3:-9	4:-29	5:-39	6:-63	
1	1:-175	2:-135	3:0	4:-160	5:-167	6:-169	
1	1:19	2:17	3:8	4:12	5:-15	6:-11	
1	1:-37	2:31	3:-10	4:146	5:-9	6:-4	
1	1:-13	2:152	3:-15	4:-33	5:-30	6:-51	
1	1:-36	2:116	3:3	4:116	5:-54	6:-53	
1	1:115	2:115	3:115	4:-21	5:-35	6:-54	
1	1:0	2:0	3:0	4:-145	5:-151	6:-175	
1	1:29	2:39	3:23	4:45	5:29	6:19	
1	1:-31	2:-51	3:-23	4:-20	5:-38	6:-50	
1	1:-24	2:-43	3:-23	4:-30	5:-26	6:-37	
1	1:-21	2:-6	3:-33	4:-32	5:-53	6:-55	
1	1:-34	2:-11	3:-42	4:-30	5:-56	6:-86	
1	1:12	2:10	3:11	4:-19	5:-34	6:-43	
1	1:138	2:-27	3:-22	4:-23	5:-35	6:-56	
1	1:0	2:-147	3:-188	4:-161	5:-194	6:-194	
1	1:-11	2:-27	3:-11	4:-26	5:-57	6:-47	
1	1:-45	2:-45	3:-46	4:-64	5:-73	6:-71	
1	1:-31	2:-24	3:119	4:-24	5:-33	6:-40	
1	1:-37	2:-63	3:-55	4:-62	5:-83	6:-76	
1	1:0	2:-144	3:-140	4:-165	5:-179	6:-213	
1	1:-168	2:-174	3:-155	4:-172	5:-187	6:-213	
1	1:-5	2:152	3:-10	4:2	5:-23	6:-34	
1	1:4	2:-3	3:-8	4:-29	5:-29	6:-35	
1	1:-49	2:5	3:-8	4:-18	5:-11	6:-51	
1	1:-31	2:-9	3:-21	4:-54	5:-64	6:-56	
1	1:-42	2:-24	3:-46	4:-64	5:-72	6:-75	
1	1:0	2:-22	3:-22	4:-21	5:-23	6:-61	
1	1:-25	2:-40	3:-44	4:-68	5:-76	6:-80	
1	1:-152	2:-169	3:-159	4:-181	5:-182	6:-194	
1	1:-143	2:-174	3:-140	4:-146	5:-154	6:-168	
1	1:-27	2:-29	3:119	4:-20	5:-50	6:-42	
1	1:93	2:-64	3:-53	4:-46	5:-67	6:-71	
1	1:-48	2:-23	3:-42	4:-41	5:172	6:-64	
1	1:-156	2:-170	3:-158	4:-172	5:-186	6:-194	
1	1:-172	2:-162	3:-157	4:-154	5:-195	6:-193	
1	1:-149	2:-187	3:-149	4:-151	5:-159	6:-153	
1	1:113	2:113	3:-31	4:-30	5:-51	6:-67	
1	1:-181	2:-194	3:-144	4:-149	5:-165	6:-156	
1	1:-5	2:-17	3:-4	4:-31	5:-28	6:-26	
1	1:-28	2:-71	3:-43	4:-38	5:-44	6:-58	
1	1:-5	2:-10	3:-13	4:-1	5:-25	6:-39	
1	1:-23	2:-32	3:-25	4:-40	5:-56	6:-56	
1	1:-141	2:-160	3:-159	4:-166	5:-149	6:-157	
1	1:-50	2:-46	3:106	4:-31	5:-40	6:-42	
1	1:-16	2:-29	3:-44	4:-51	5:-42	6:-66	
1	1:129	2:129	3:129	4:-7	5:-26	6:-51	
1	1:-35	2:-16	3:102	4:-35	5:102	6:-48	
1	1:-187	2:-148	3:-170	4:-172	5:-179	6:-181	
1	1:-45	2:-23	3:-23	4:-26	5:-29	6:-29	
1	1:-19	2:-34	3:-31	4:-25	5:-52	6:-50	
1	1:-36	2:-88	3:78	4:78	5:-42	6:-57	
1	1:114	2:-31	3:-37	4:-47	5:-73	6:-40	
1	1:-141	2:-159	3:-177	4:-166	5:-144	6:-171	
1	1:-42	2:-93	3:-61	4:-53	5:-46	6:-69	
1	1:-44	2:89	3:89	4:-57	5:89	6:-69	
1	1:132	2:132	3:132	4:132	5:-28	6:-35	
1	1:91	2:91	3:91	4:-46	5:-61	6:-62	
1	1:21	2:47	3:24	4:19	5:5	6:-13	
1	1:-115	2:-113	3:0	4:0	5:-166	6:-181	
1	1:-10	2:20	3:-2	4:7	5:-11	6:-31	
1	1:-3	2:-15	3:-21	4:-30	5:-42	6:-46	
1	1:-150	2:-127	3:-136	4:-139	5:-155	6:-187	
1	1:-26	2:-15	3:-22	4:-3	5:-18	6:-35	
1	1:143	2:-16	3:-11	4:1	5:-21	6:-7	
1	1:-25	2:-4	3:-10	4:1	5:-10	6:-25	
1	1:-178	2:-179	3:-172	4:-161	5:-190	6:-202	
1	1:-164	2:-200	3:-185	4:-170	5:-205	6:-185	
1	1:125	2:-25	3:-11	4:-30	5:-36	6:-47	
1	1:-159	2:-149	3:-150	4:-166	5:-179	6:-179	
1	1:-17	2:-14	3:-33	4:-56	5:-70	6:-94	
1	1:-26	2:6	3:-25	4:-20	5:-36	6:-65	
1	1:-165	2:-157	3:-162	4:-168	5:-185	6:-172	
1	1:-32	2:-4	3:-32	4:-38	5:-26	6:-61	
1	1:-45	2:-35	3:-41	4:-50	5:-65	6:-55	
1	1:-33	2:-23	3:-25	4:-29	5:-54	6:-46	
1	1:90	2:90	3:-26	4:-67	5:-68	6:-88	
1	1:93	2:93	3:-25	4:93	5:-56	6:-78	
1	1:-42	2:110	3:-28	4:-40	5:-30	6:-60	
