1	2:-2147483648	3:-2147483648	4:-2147483648	5:0	6:-2147483648	7:86	
1	2:17	3:-16	4:-26	5:-22	6:-55	7:23	
1	2:104	3:-33	4:-57	5:104	6:-53	7:8	
1	2:-52	3:83	4:-27	5:-1	6:-28	7:-37	
1	2:-8	3:-7	4:81	5:-27	6:-28	7:-29	
1	2:-27	3:-5	4:-27	5:-30	6:0	7:-26	
1	2:8	3:17	4:-10	5:-4	6:-8	7:2	
1	2:-79	3:101	4:-38	5:-39	6:-47	7:-5	
1	2:77	3:-45	4:-48	5:-44	6:-56	7:19	
1	2:74	3:-44	4:-41	5:-53	6:-43	7:5	
1	2:-55	3:-54	4:-40	5:-40	6:-30	7:-2	
1	2:87	3:87	4:-14	5:-15	6:-26	7:0	
1	2:-8	3:-24	4:87	5:-14	6:-28	7:13	
1	2:-33	3:-30	4:-21	5:-43	6:-23	7:-9	
1	2:3	3:119	4:-32	5:-28	6:-29	7:119	
1	2:-33	3:-51	4:-40	5:-48	6:-25	7:-13	
1	2:-40	3:-8	4:-31	5:112	6:-27	7:-35	
1	2:65	3:-22	4:-62	5:-35	6:-49	7:-47	
1	2:-37	3:9	4:-16	5:-24	6:86	7:-15	
1	2:18	3:14	4:1	5:-17	6:-4	7:28	
1	2:9	3:5	4:-15	5:-9	6:-1	7:-7	
1	2:8	3:-38	4:-6	5:-37	6:-23	7:-3	
1	2:19	3:11	4:2	5:14	6:6	7:-6	
1	2:-18	3:-31	4:-73	5:-42	6:-16	7:-8	
1	2:11	3:19	4:95	5:-27	6:-5	7:0	
1	2:3	3:3	4:13	5:-12	6:15	7:15	
1	2:2	3:-6	4:-23	5:13	6:6	7:-4	
1	2:-40	3:-28	4:-38	5:-29	6:-27	7:-11	
1	2:-20	3:-19	4:-34	5:-49	6:-23	7:-37	
1	2:-10	3:96	4:-24	5:-6	6:96	7:15	
1	2:77	3:-39	4:-13	5:-54	6:-24	7:-28	
1	2:-26	3:-43	4:-54	5:76	6:76	7:-16	
1	2:-67	3:-38	4:-39	5:-55	6:-38	7:-33	
1	2:66	3:-54	4:66	5:66	6:66	7:-10	
1	2:-59	3:-40	4:-23	5:-33	6:-41	7:-12	
1	2:73	3:-24	4:73	5:73	6:73	7:-14	
1	2:-30	3:-12	4:-39	5:-31	6:-29	7:1	
1	2:84	3:-9	4:-63	5:-29	6:-59	7:12	
1	2:-42	3:9	4:97	5:97	6:-63	7:23	
1	2:-51	3:-31	4:-65	5:-37	6:-67	7:0	
1	2:-61	3:-13	4:88	5:-26	6:-51	7:5	
1	2:-86	3:-33	4:-74	5:-55	6:-77	7:-7	
1	2:-139	3:-122	4:-147	5:-125	6:-157	7:-74	
1	2:-76	3:-25	4:-123	5:-48	6:-132	7:3	
1	2:-66	3:-17	4:-66	5:-21	6:-92	7:28	
1	2:50	3:-16	4:-92	5:-32	6:-134	7:4	
1	2:-109	3:-41	4:-112	5:-53	6:-131	7:0	
1	2:77	3:10	4:-88	5:-2	6:-108	7:32	
1	2:-193	3:0	4:-230	5:-141	6:-221	7:-123	
1	2:-82	3:-25	4:-112	5:-33	6:-134	7:0	
