1 1:0.159551 2:0.148649 3:0.0577367 4:-0.108046 5:-0.0221239 6:0.186583 
1 1:0.748315 2:0.0900901 3:0.0900693 4:-0.108046 5:-0.0840708 6:0.689727 
1 1:-0.0292135 2:-0.112613 3:-0.113164 4:-0.154023 5:-0.119469 6:0.00209644 
1 1:-0.101124 2:-0.00900901 3:-0.237875 4:-0.0896552 5:-0.0353982 6:0.144654 
1 1:0.631461 2:0.617117 3:-0.0161663 4:-0.0528736 5:-0.0575221 6:0.580713 
1 1:-0.0516854 2:-0.045045 3:-0.0531178 4:-0.103448 5:-0.141593 6:0.0733753 
1 1:-0.186517 2:0.612613 3:-0.168591 4:-0.204598 5:-0.172566 6:0.0901468 
1 1:-0.155056 2:-0.045045 3:-0.0577367 4:-0.172414 5:-0.190265 6:0.00628931 
1 1:-0.146067 2:-0.247748 3:-0.154734 4:-0.232184 5:-0.274336 6:0.492662 
1 1:0.00674157 2:0.00900901 3:0.0438799 4:-0.0988506 5:-0.0530973 6:0.698113 
1 1:-0.0516854 2:-0.112613 3:-0.0623557 4:-0.103448 5:-0.146018 6:0.538784 
1 1:0.114607 2:0.0585586 3:-0.00230947 4:-0.0758621 5:-0.0132743 6:0.111111 
1 1:0.757303 2:0.0675676 3:0.764434 4:-0.0758621 5:-0.0176991 6:0.698113 
1 1:-0.797753 2:-0.540541 3:-0.561201 4:-0.636782 5:-0.623894 6:0.144654 
1 1:0.635955 2:-0.112613 3:-0.103926 4:-0.149425 5:-0.154867 6:0.584906 
1 1:0.0786517 2:-0.184685 3:0.593533 4:-0.149425 5:-0.128319 6:0.542977 
1 1:-0.204494 2:-0.0990991 3:-0.196305 4:-0.103448 5:-0.225664 6:-0.048218 
1 1:0.6 2:0.585586 3:-0.150115 4:-0.117241 5:-0.119469 6:-0.0733753 
1 1:-0.0561798 2:0.693694 3:-0.127021 4:-0.0206897 5:-0.00884956 6:-0.0230608 
1 1:0.0337079 2:-0.045045 3:0.0762125 4:-0.135632 5:0.00442478 6:-0.0649895 
1 1:-0.734831 2:-0.662162 3:-0.852194 4:-0.696552 5:-0.721239 6:-0.551363 
1 1:-0.604494 2:-0.626126 3:-0.658199 4:-0.903448 5:-0.716814 6:-0.572327 
1 1:0.0831461 2:0.00900901 3:0.039261 4:0.00689655 5:-0.00442478 6:0.106918 
1 1:0.0606742 2:0.0405405 3:0.0438799 4:0.0252874 5:0.0486726 6:0.115304 
1 1:0.775281 2:0.13964 3:0.039261 4:-0.112644 5:0.0221239 6:0.0440252 
1 1:-0.0247191 2:-0.216216 3:-0.210162 4:-0.31954 5:-0.269912 6:-0.15304 
1 1:-0.0876404 2:-0.108108 3:-0.200924 4:-0.14023 5:-0.314159 6:-0.144654 
1 1:0.0696629 2:-0.0675676 3:-0.034642 4:-0.190805 5:-0.221239 6:-0.132075 
1 1:-0.0831461 2:-0.297297 3:-0.168591 4:-0.218391 5:-0.252212 6:-0.148847 
1 1:-0.0606742 2:0.0225225 3:0.699769 4:-0.0252874 5:0.0353982 6:0.0188679 
1 1:-0.231461 2:0.121622 3:-0.0115473 4:-0.016092 5:-0.190265 6:-0.0104822 
1 1:-0.2 2:-0.0855856 3:-0.163972 4:-0.213793 5:-0.0840708 6:-0.136268 
1 1:-0.047191 2:0.0315315 3:-0.159353 4:-0.117241 5:-0.159292 6:-0.106918 
1 1:-0.0337079 2:0.648649 3:-0.0438799 4:-0.00229885 5:-0.0176991 6:-0.0146751 
1 1:-0.119101 2:-0.0585586 3:-0.00692841 4:-0.0528736 5:-0.0176991 6:-0.0314465 
1 1:-0.465169 2:-0.504505 3:-0.491917 4:-0.581609 5:-0.530973 6:-0.601677 
1 1:-0.047191 2:-0.144144 3:-0.0623557 4:-0.103448 5:-0.0221239 6:-0.0901468 
1 1:0.00674157 2:0.00900901 3:0.0161663 4:0.0114943 5:-0.0353982 6:0.0314465 
1 1:0.110112 2:-0.0675676 3:-0.034642 4:-0.0390805 5:-0.079646 6:-0.0230608 
1 1:-0.0337079 2:0.036036 3:-0.00692841 4:-0.14023 5:-0.0486726 6:-0.00628931 
1 1:-0.604494 2:-0.585586 3:-0.593533 4:-0.668966 5:-0.517699 6:-0.542977 
1 1:-0.653933 2:-0.54955 3:-0.510393 4:-0.567816 5:-0.442478 6:-0.534591 
1 1:-0.573034 2:-0.702703 3:-0.667436 4:-0.797701 5:-0.60177 6:-0.677149 
1 1:-0.155056 2:-0.0585586 3:-0.0577367 4:-0.186207 5:-0.221239 6:-0.169811 
1 1:0.0337079 2:-0.0135135 3:0.034642 4:-0.0390805 5:0.0486726 6:-0.00628931 
