0 1:-0.0547046 2:-0.0412148 3:-0.0993072 4:-0.310345 5:-0.247826 6:-0.408805 
0 1:-0.146608 2:0.609544 3:-0.228637 4:-0.241379 5:-0.378261 6:-0.29979 
0 1:-0.0984683 2:0.110629 3:0.0207852 4:-0.0436782 5:-0.221739 6:-0.12369 
0 1:-0.0371991 2:0.652928 3:0.736721 4:-0.282759 5:-0.2 6:-0.345912 
0 1:0.102845 2:0.0195228 3:-0.0808314 4:-0.126437 5:-0.243478 6:-0.224319 
0 1:-0.150985 2:-0.210412 3:-0.182448 4:-0.370115 5:-0.234783 6:-0.371069 
0 1:-0.483589 2:-0.492408 3:-0.501155 4:-0.751724 5:-0.73913 6:-0.874214 
0 1:-0.0722101 2:0.032538 3:-0.150115 4:-0.190805 5:-0.221739 6:-0.345912 
0 1:0.0809628 2:-0.0802603 3:-0.039261 4:-0.268966 5:-0.286957 6:-0.371069 
0 1:0.636761 2:-0.032538 3:-0.0300231 4:-0.236782 5:-0.313043 6:-0.371069 
0 1:-0.00656455 2:0.0281996 3:0.0577367 4:-0.167816 5:-0.213043 6:-0.291405 
0 1:0.649891 2:-0.010846 3:-0.0161663 4:-0.135632 5:-0.265217 6:-0.220126 
0 1:-0.0153173 2:-0.0542299 3:-0.117783 4:-0.273563 5:-0.365217 6:-0.404612 
0 1:-0.102845 2:-0.180043 3:-0.293303 4:-0.190805 5:-0.278261 6:-0.257862 
0 1:-0.0415755 2:-0.00650759 3:-0.0161663 4:-0.227586 5:-0.230435 6:-0.354298 
0 1:-0.0109409 2:0.631236 3:-0.0531178 4:-0.190805 5:-0.230435 6:-0.303983 
0 1:-0.610503 2:-0.62256 3:-0.699769 4:-0.866667 5:-0.769565 6:-0.786164 
0 1:0.0722101 2:0.0238612 3:-0.0300231 4:-0.0942529 5:-0.208696 6:-0.236897 
0 1:-0.527352 2:-0.54013 3:-0.676674 4:-0.737931 5:-0.752174 6:-0.786164 
0 1:0.0547046 2:0.180043 3:0.0669746 4:-0.131034 5:-0.217391 6:-0.312369 
0 1:-0.0940919 2:-0.223427 3:-0.136259 4:-0.209195 5:-0.295652 6:-0.257862 
0 1:0.164114 2:0.00650759 3:0.103926 4:-0.0850575 5:-0.178261 6:-0.12369 
