1 1:-0.544858 2:-0.661605 3:-0.47806 4:-0.531034 5:-0.526087 6:-0.639413 
1 1:-0.0284464 2:-0.106291 3:0.621247 4:0.6 5:0.00869565 6:-0.115304 
1 1:-0.150985 2:0.409978 3:0.47806 4:0.457471 5:-0.156522 6:-0.295597 
1 1:0.0415755 2:0.127983 3:0.163972 4:0.14023 5:0.134783 6:0.048218 
1 1:-0.0415755 2:0.0672451 3:0.034642 4:0.0298851 5:-0.0913043 6:-0.0230608 
1 1:-0.571116 2:0.106291 3:-0.648961 4:-0.54023 5:-0.552174 6:-0.584906 
1 1:0.588621 2:-0.0498915 3:-0.00230947 4:0.613793 5:-0.221739 6:-0.228512 
1 1:-0.0328228 2:-0.0368764 3:-0.103926 4:-0.0298851 6:-0.236897 
1 1:-0.0897155 2:-0.0889371 3:0.584296 4:-0.0850575 5:0.573913 6:-0.0943396 
1 1:0.133479 2:-0.527115 3:-0.473441 4:-0.604598 5:-0.573913 6:-0.534591 
1 1:-0.00656455 2:-0.119306 3:-0.0300231 4:-0.0482759 5:-0.0565217 6:-0.203354 
1 1:0.133479 2:-0.67462 3:-0.56582 4:-0.567816 5:-0.547826 6:-0.580713 
1 1:-0.0853392 2:0.496746 3:-0.103926 4:0.549425 5:-0.0565217 6:-0.115304 
1 1:-0.487965 2:-0.548807 3:-0.60739 4:-0.76092 5:-0.795652 6:-0.731656 
1 1:-0.540481 2:-0.592191 3:-0.51963 4:-0.526437 5:-0.53913 6:-0.589099 
1 1:0.0722101 2:0.0542299 3:-0.0115473 4:0.0436782 5:-0.0913043 6:-0.115304 
1 1:-0.0897155 2:0.631236 3:-0.0623557 4:-0.0574713 5:-0.143478 6:-0.127883 
1 1:0.0328228 2:0.0498915 3:0.0115473 4:-0.016092 5:0.0608696 6:0.0272537 
1 1:0.0897155 2:0.0672451 3:0.154734 4:0.016092 5:0.0217391 6:-0.0440252 
1 1:0.0153173 2:-0.00650759 3:0.0715935 4:-0.00229885 5:0.0130435 6:-0.0733753 
1 1:0.0547046 2:0.0238612 3:-0.187067 4:0.00229885 5:-0.0565217 6:-0.119497 
1 1:0.0940919 2:0.154013 3:0.145497 4:0.144828 5:-0.00434783 6:-0.0146751 
1 1:-0.0153173 2:-0.0498915 3:0.0115473 4:0.0482759 5:-0.0347826 6:-0.0649895 
1 1:0.754923 2:0.0368764 3:0.0900693 4:0.0390805 6:-0.0398323 
1 1:-0.0940919 2:0.557484 3:-0.0946882 4:-0.167816 5:-0.13913 6:-0.203354 
1 1:0.0459519 2:0.618221 3:0.0531178 4:-0.0114943 5:-0.0521739 6:-0.0943396 
1 1:-0.0196937 2:-0.0151844 3:0.0531178 4:0.00689655 5:-0.0869565 6:-0.0691824 
1 1:0.0897155 2:0.0281996 3:0.0300231 4:-0.00689655 5:0.0347826 6:-0.081761 
1 1:0.628009 2:-0.167028 3:-0.136259 4:-0.144828 5:-0.134783 6:-0.169811 
1 1:0.522976 2:-0.227766 3:-0.0946882 4:-0.204598 5:-0.286957 6:-0.24109 
1 1:-0.579869 2:-0.665944 3:-0.593533 4:-0.682759 5:-0.721739 6:-0.689727 
1 1:-0.0415755 2:0.110629 3:0.140878 4:0.163218 5:0.0956522 6:0.0566038 
1 1:0.0940919 2:0.127983 3:0.0254042 4:0.0252874 5:-0.0869565 6:-0.0775681 
1 1:-0.12035 2:0.0455531 3:0.0531178 4:-0.0252874 5:0.0173913 6:-0.144654 
1 1:0.0722101 2:0.0629067 3:-0.0254042 4:-0.00229885 5:-0.0565217 6:-0.132075 
1 1:0.514223 2:-0.0238612 3:-0.187067 4:-0.204598 5:0.547826 6:-0.178197 
1 1:0.632385 2:-0.0368764 3:-0.0254042 4:-0.0804598 5:-0.113043 6:-0.0985325 
1 1:-0.522976 2:-0.527115 3:-0.588915 4:-0.705747 5:-0.708696 6:-0.580713 
1 1:-0.0153173 2:-0.123644 3:-0.0254042 4:0.452874 5:0.469565 6:-0.274633 
1 1:-0.199125 2:-0.127983 3:-0.034642 4:-0.0712644 5:-0.191304 6:-0.245283 
1 1:-0.0722101 2:-0.0542299 3:-0.0946882 4:-0.204598 5:-0.16087 6:-0.215933 
1 1:-0.0284464 2:0.00650759 3:-0.00230947 4:0.0390805 5:-0.0130435 6:-0.0440252 
1 1:0.0765864 2:0.0151844 3:-0.034642 4:-0.0758621 5:-0.073913 6:-0.136268 
1 1:-0.7593 2:-0.631236 3:-0.593533 4:-0.65977 5:-0.617391 6:-0.610063 
1 1:-0.0415755 2:-0.0715835 3:-0.0531178 4:-0.163218 5:-0.0434783 6:-0.0985325 
1 1:0.0765864 2:-0.0368764 3:0.034642 4:-0.0666667 5:-0.0565217 6:-0.194969 
1 1:0.133479 2:-0.197397 3:-0.0946882 4:-0.0666667 5:-0.130435 6:-0.12369 
1 1:0.649891 2:-0.132321 3:-0.177829 4:-0.158621 5:-0.178261 6:-0.169811 
1 1:-0.12035 2:-0.184382 3:-0.210162 4:-0.172414 5:-0.16087 6:-0.287212 
1 1:0.0722101 2:-0.149675 3:-0.159353 4:-0.117241 5:-0.126087 6:-0.228512 
1 1:-0.0109409 2:0.609544 3:-0.0484988 4:-0.121839 5:-0.143478 6:-0.220126 
1 1:0.133479 2:-0.62256 3:-0.699769 4:-0.65977 5:-0.565217 6:-0.622642 
1 1:0.0153173 2:-0.0542299 3:0.034642 4:0.0344828 5:-0.0608696 6:-0.0272537 
1 1:-0.56674 2:-0.635575 3:-0.681293 4:-0.678161 5:-0.726087 6:-0.710692 
1 1:0.0940919 2:-0.0412148 3:-0.00692841 4:-0.062069 5:-0.0217391 6:-0.127883 
1 1:-0.496718 2:-0.553145 3:-0.51963 4:-0.650575 5:-0.595652 6:-0.677149 
1 1:-0.0328228 2:-0.010846 3:-0.0161663 4:-0.108046 5:-0.0826087 6:-0.106918 
1 1:-0.0722101 2:0.0151844 3:0.0115473 4:0.0574713 5:0.0391304 6:-0.0104822 
1 1:-0.654267 2:-0.613883 3:-0.727483 4:-0.577011 5:-0.569565 6:-0.559748 
1 1:-0.107221 2:-0.101952 3:-0.182448 4:-0.167816 5:-0.108696 6:-0.127883 
1 1:-0.00656455 2:0.0238612 3:0.0946882 4:0.0114943 5:-0.0304348 6:-0.0230608 
1 1:0.0722101 2:0.544469 3:0.621247 4:-0.016092 5:-0.113043 6:-0.157233 
1 1:-0.21663 2:-0.0759219 3:-0.159353 4:-0.126437 5:-0.0695652 6:-0.15304 
1 1:0.562363 2:-0.0932755 3:0.60739 4:-0.167816 5:-0.113043 6:-0.106918 
1 1:-0.527352 2:-0.522777 3:-0.584296 4:-0.650575 5:-0.630435 6:-0.643606 
1 1:0.142232 2:0.0802603 3:0.13164 4:0.0896552 5:0.0956522 6:-0.0146751 
1 1:-0.636761 2:-0.574837 3:-0.570439 4:-0.632184 5:-0.569565 6:-0.69392 
1 1:-0.0415755 2:0.566161 3:-0.228637 4:-0.172414 5:-0.213043 6:-0.249476 
1 1:-0.509847 2:-0.596529 3:-0.704388 4:-0.714943 5:-0.643478 6:-0.731656 
1 1:-0.597374 2:-0.62256 3:-0.672055 4:-0.664368 5:-0.695652 6:-0.610063 
1 1:-0.50547 2:-0.683297 3:-0.547344 4:-0.650575 5:-0.643478 6:-0.647799 
1 1:-0.00218818 2:0.0195228 3:-0.034642 4:-0.062069 5:-0.0521739 6:-0.140461 
1 1:-0.199125 2:-0.0498915 3:0.0207852 4:-0.0482759 5:-0.0826087 6:-0.140461 
1 1:-0.164114 2:-0.0021692 3:-0.177829 4:-0.163218 5:-0.173913 6:-0.144654 
1 1:-0.47046 2:-0.171367 3:-0.177829 4:-0.250575 5:-0.195652 6:-0.232704 
1 1:-0.789934 2:-0.713666 3:-0.662818 4:-0.618391 5:-0.721739 6:-0.727463 
1 1:-0.667396 2:-0.704989 3:-0.593533 4:-0.65977 5:-0.717391 6:-0.698113 
1 1:-0.177243 2:-0.184382 3:-0.0300231 4:-0.195402 5:-0.0869565 6:-0.257862 
1 1:-0.16849 2:-0.0629067 3:-0.0715935 4:-0.209195 5:-0.143478 6:-0.291405 
1 1:-0.225383 2:-0.149675 3:-0.168591 4:-0.195402 5:-0.243478 6:-0.262055 
1 1:0.0853392 2:0.0151844 3:0.0762125 4:-0.0114943 5:-0.00869565 6:-0.0943396 
