1 1:-0.443255 2:0.103139 3:-0.745721 4:-0.768473 5:-0.657277 6:-0.553047 
1 1:-0.0663812 2:-0.125561 3:-0.0171149 4:-0.0492611 5:0.00938967 6:0.0564334 
1 1:-0.571734 2:-0.713004 3:-0.735941 4:-0.862069 5:-0.671362 6:-0.819413 
1 1:0.571734 2:0.0313901 3:-0.207824 4:-0.182266 5:-0.0938967 6:-0.0112867 
1 1:0.0792291 2:-0.147982 3:0.0171149 4:-0.00492611 5:0.00938967 6:0.0835214 
1 1:-0.438972 2:-0.730942 3:-0.745721 4:-0.778325 5:-0.680751 6:-0.629797 
1 1:-0.0192719 2:-0.0269058 3:-0.0660147 4:-0.0689655 5:0.0704225 6:0.196388 
1 1:-0.173448 2:-0.0896861 3:-0.168704 4:0.384236 5:-0.220657 6:-0.0880361 
1 1:0.122056 2:0.0044843 3:-0.0268949 4:-0.044335 5:0.577465 6:0.0383747 
1 1:-0.700214 2:-0.627803 3:-0.613692 4:-0.615764 5:-0.558685 6:0.200903 
1 1:0.0364026 2:-0.0941704 3:0.0171149 4:-0.0147783 5:0.084507 6:0.03386 
1 1:0.0749465 2:0.636771 3:-0.0171149 4:-0.0738916 5:0.00938967 6:0.738149 
1 1:0.139186 2:-0.0179372 3:0.110024 4:-0.0788177 5:0.0375587 6:0.841986 
1 1:-0.0492505 2:-0.139013 3:-0.0660147 4:-0.142857 5:-0.169014 6:0.0564334 
1 1:-0.353319 2:-0.511211 3:-0.599022 4:-0.699507 5:-0.516432 6:0.200903 
1 1:-0.443255 2:-0.636771 3:-0.643032 4:-0.571429 5:-0.666667 6:0.200903 
1 1:-0.0492505 2:-0.00896861 3:-0.0171149 4:-0.0788177 5:-0.0751174 6:0.873589 
1 1:-0.0149893 2:-0.0807175 3:-0.110024 4:-0.197044 5:-0.117371 6:0.693002 
1 1:0.678801 2:-0.0986547 3:-0.0806846 4:-0.0344828 5:-0.0657277 6:-0.0248307 
1 1:0.169165 2:0.103139 3:-0.0562347 4:0.0541872 5:0.169014 6:0.1693 
1 1:0.0749465 2:-0.0313901 3:-0.0171149 4:-0.0344828 5:0.0516432 6:0.805869 
1 1:0.0492505 2:-0.0672646 3:-0.129584 4:-0.17734 5:-0.234742 6:0.0699774 
1 1:0.653105 2:0.632287 3:-0.00733496 4:-0.0788177 5:-0.150235 6:0.733634 
1 1:-0.0963597 2:-0.219731 3:0.589242 4:0.581281 5:-0.131455 6:0.616253 
1 1:0.0449679 2:-0.00896861 3:-0.0562347 4:-0.0985222 5:-0.0798122 6:0.00677201 
1 1:0.0578158 2:0.0044843 3:-0.0611247 4:-0.0492611 5:-0.0516432 6:0.106095 
