1	1:104	2:114	3:88	4:104	5:98	6:94	7:75	8:62	9:49	10:91	
1	1:104	2:114	3:88	4:101	5:98	6:91	7:75	8:62	9:45	10:94	
1	1:104	2:117	3:85	4:101	5:101	6:94	7:71	8:65	9:45	10:94	
1	1:104	2:114	3:85	4:104	5:101	6:91	7:71	8:62	9:45	10:94	
1	1:101	2:114	3:81	4:104	5:98	6:88	7:71	8:65	9:45	10:94	
1	1:101	2:114	3:81	4:104	5:101	6:88	7:71	8:65	9:45	10:94	
1	1:101	2:117	3:81	4:104	5:101	6:88	7:75	8:62	9:49	10:94	
1	1:104	2:114	3:81	4:104	5:98	6:88	7:71	8:62	9:49	10:94	
1	1:101	2:117	3:81	4:104	5:98	6:88	7:71	8:62	9:49	10:94	
1	1:101	2:120	3:81	4:104	5:98	6:88	7:71	8:62	9:45	10:94	
1	1:101	2:117	3:81	4:104	5:98	6:91	7:71	8:62	9:45	10:94	
1	1:101	2:120	3:78	4:107	5:98	6:91	7:71	8:62	9:45	10:94	
1	1:98	2:117	3:81	4:107	5:98	6:88	7:71	8:65	9:45	10:94	
1	1:98	2:117	3:81	4:107	5:98	6:88	7:75	8:62	9:42	10:94	
1	1:94	2:117	3:81	4:107	5:98	6:91	7:71	8:62	9:45	10:94	
1	1:98	2:120	3:81	4:107	5:98	6:91	7:71	8:65	9:45	10:94	
1	1:98	2:117	3:81	4:107	5:98	6:91	7:68	8:62	9:42	10:94	
1	1:94	2:120	3:85	4:107	5:98	6:91	7:68	8:62	9:42	10:94	
1	1:98	2:117	3:85	4:107	5:98	6:91	7:68	8:58	9:42	10:94	
1	1:94	2:117	3:81	4:107	5:98	6:88	7:71	8:62	9:45	10:94	
1	1:94	2:120	3:81	4:107	5:94	6:88	7:68	8:62	9:42	10:94	
1	1:101	2:120	3:88	4:111	5:98	6:88	7:68	8:62	9:42	10:94	
1	1:101	2:120	3:91	4:111	5:98	6:88	7:65	8:58	9:42	10:98	
1	1:98	2:120	3:88	4:114	5:94	6:85	7:68	8:58	9:39	10:98	
1	1:101	2:120	3:91	4:114	5:94	6:85	7:68	8:58	9:35	10:98	
1	1:101	2:117	3:88	4:111	5:94	6:85	7:65	8:55	9:35	10:98	
1	1:98	2:117	3:85	4:111	5:91	6:85	7:68	8:62	9:32	10:98	
1	1:101	2:117	3:85	4:111	5:94	6:85	7:68	8:58	9:32	10:98	
1	1:98	2:117	3:88	4:111	5:91	6:85	7:68	8:55	9:32	10:98	
1	1:98	2:114	3:91	4:111	5:94	6:88	7:68	8:55	9:32	10:98	
1	1:101	2:117	3:91	4:111	5:94	6:88	7:65	8:55	9:32	10:98	
1	1:98	2:114	3:85	4:111	5:94	6:88	7:65	8:55	9:32	10:98	
1	1:98	2:117	3:85	4:107	5:91	6:88	7:65	8:55	9:32	10:101	
1	1:98	2:114	3:78	4:111	5:91	6:88	7:65	8:55	9:32	10:101	
1	1:98	2:114	3:75	4:117	5:91	6:91	7:65	8:55	9:32	10:101	
1	1:98	2:114	3:78	4:114	5:91	6:88	7:65	8:55	9:32	10:101	
1	1:98	2:111	3:85	4:114	5:91	6:91	7:65	8:55	9:35	10:101	
1	1:101	2:111	3:78	4:114	5:88	6:88	7:65	8:55	9:35	10:101	
1	1:101	2:114	3:78	4:111	5:88	6:85	7:65	8:55	9:35	10:101	
1	1:101	2:114	3:78	4:111	5:88	6:85	7:65	8:55	9:35	10:101	
1	1:101	2:114	3:85	4:111	5:88	6:88	7:65	8:55	9:35	10:101	
1	1:101	2:114	3:85	4:111	5:91	6:88	7:65	8:55	9:35	10:101	
1	1:101	2:114	3:85	4:111	5:88	6:88	7:65	8:52	9:35	10:101	
1	1:98	2:114	3:81	4:111	5:91	6:88	7:65	8:55	9:35	10:101	
1	1:101	2:111	3:81	4:111	5:88	6:91	7:65	8:55	9:35	10:104	
1	1:98	2:111	3:88	4:111	5:88	6:91	7:65	8:55	9:35	10:101	
1	1:98	2:114	3:88	4:111	5:91	6:91	7:65	8:55	9:35	10:101	
1	1:104	2:114	3:85	4:111	5:91	6:91	7:65	8:55	9:32	10:101	
1	1:104	2:114	3:85	4:111	5:88	6:91	7:62	8:55	9:32	10:101	
1	1:101	2:114	3:85	4:111	5:91	6:91	7:62	8:55	9:32	10:101	
1	1:104	2:111	3:88	4:114	5:91	6:91	7:62	8:52	9:32	10:101	
1	1:101	2:111	3:85	4:114	5:88	6:94	7:68	8:52	9:35	10:101	
1	1:101	2:114	3:81	4:114	5:91	6:94	7:68	8:55	9:35	10:107	
1	1:101	2:111	3:85	4:114	5:91	6:98	7:68	8:55	9:35	10:107	
1	1:101	2:111	3:85	4:111	5:94	6:94	7:68	8:55	9:35	10:107	
1	1:101	2:114	3:85	4:111	5:94	6:98	7:68	8:55	9:35	10:107	
1	1:101	2:114	3:81	4:111	5:94	6:98	7:65	8:55	9:35	10:107	
1	1:101	2:114	3:81	4:111	5:91	6:98	7:68	8:52	9:35	10:107	
1	1:101	2:117	3:81	4:111	5:91	6:94	7:71	8:55	9:35	10:107	
1	1:101	2:114	3:81	4:111	5:91	6:98	7:71	8:55	9:35	10:111	
1	1:101	2:114	3:81	4:114	5:94	6:94	7:68	8:55	9:35	10:111	
1	1:101	2:114	3:85	4:114	5:94	6:94	7:71	8:55	9:35	10:107	
1	1:101	2:114	3:85	4:114	5:94	6:91	7:71	8:55	9:39	10:107	
1	1:101	2:114	3:81	4:114	5:94	6:88	7:68	8:55	9:35	10:107	
1	1:101	2:114	3:81	4:114	5:94	6:91	7:68	8:55	9:35	10:107	
