0.0 1:0.7358490566037736 2:0.894736842105263 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9210526315789473 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9210526315789473 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9210526315789473 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9210526315789473 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9210526315789473 3:0.4545454545454546 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9210526315789473 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.375 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.8536585365853658 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.5652173913043479 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7358490566037736 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9210526315789473 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
0.0 1:0.7735849056603774 2:0.9473684210526316 3:0.5 4:0.8064516129032258 5:0.8125 6:0.4782608695652173 7:0.22222222222222232 8:-0.9024390243902439 9:-0.5 10:-0.1428571428571429 
