1	1:2	2:1	3:1	4:380	5:0	6:0	7:13	
1	1:0	2:395	3:0	4:0	5:0	6:0	7:3	
1	1:66	2:12	3:7	4:0	5:39	6:1	7:272	
1	1:4	2:4	3:1	4:347	5:3	6:0	7:38	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:236	2:13	3:11	4:8	5:25	6:1	7:103	
1	1:117	2:48	3:7	4:9	5:14	6:2	7:199	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:1	2:387	3:0	4:0	5:0	6:0	7:9	
1	1:2	2:388	3:0	4:0	5:0	6:0	7:7	
1	1:71	2:62	3:9	4:35	5:11	6:3	7:205	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:126	2:10	3:12	4:6	5:10	6:0	7:232	
1	1:85	2:7	3:30	4:38	5:12	6:9	7:215	
1	1:84	2:25	3:11	4:44	5:29	6:16	7:188	
1	1:0	2:198	3:0	4:198	5:0	6:0	7:0	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:2	2:0	3:0	4:392	5:0	6:0	7:3	
1	1:38	2:45	3:158	4:31	5:99	6:7	7:19	
1	1:103	2:37	3:78	4:97	5:62	6:9	7:10	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:168	2:39	3:2	4:4	5:23	6:2	7:158	
1	1:3	2:193	3:0	4:0	5:193	6:0	7:8	
1	1:0	2:0	3:131	4:131	5:131	6:0	7:5	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:1	2:380	3:0	4:0	5:1	6:0	7:15	
1	1:16	2:41	3:5	4:7	5:19	6:1	7:308	
1	1:3	2:0	3:0	4:0	5:385	6:0	7:9	
1	1:22	2:57	3:18	4:41	5:11	6:5	7:242	
1	1:0	2:2	3:394	4:0	5:0	6:0	7:2	
1	1:22	2:6	3:2	4:1	5:324	6:0	7:41	
1	1:98	2:43	3:19	4:26	5:10	6:7	7:195	
1	1:114	2:80	3:23	4:13	5:28	6:11	7:128	
1	1:0	2:0	3:0	4:196	5:196	6:0	7:5	
1	1:76	2:76	3:21	4:10	5:28	6:6	7:179	
1	1:61	2:55	3:20	4:7	5:35	6:7	7:212	
1	1:11	2:1	3:375	4:0	5:0	6:0	7:9	
1	1:1	2:0	3:386	4:0	5:0	6:0	7:10	
1	1:204	2:27	3:11	4:5	5:5	6:0	7:144	
1	1:16	2:1	3:0	4:371	5:0	6:0	7:9	
1	1:0	2:196	3:196	4:0	5:0	6:0	7:4	
1	1:1	2:0	3:388	4:0	5:0	6:0	7:7	
1	1:1	2:197	3:197	4:0	5:0	6:0	7:3	
1	1:5	2:0	3:388	4:0	5:0	6:0	7:5	
1	1:0	2:0	3:392	4:0	5:0	6:0	7:6	
1	1:0	2:0	3:397	4:0	5:0	6:0	7:1	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:391	2:0	3:0	4:0	5:0	6:0	7:6	
1	1:234	2:7	3:11	4:17	5:5	6:1	7:122	
1	1:2	2:388	3:0	4:0	5:0	6:0	7:7	
1	1:2	2:1	3:0	4:191	5:191	6:0	7:13	
1	1:4	2:2	3:189	4:0	5:189	6:0	7:12	
1	1:84	2:21	3:32	4:14	5:10	6:1	7:236	
1	1:1	2:0	3:197	4:197	5:0	6:0	7:2	
1	1:87	2:9	3:24	4:17	5:14	6:2	7:243	
1	1:0	2:132	3:132	4:132	5:0	6:0	7:2	
1	1:117	2:49	3:15	4:10	5:8	6:1	7:198	
1	1:389	2:0	3:1	4:0	5:0	6:0	7:7	
1	1:4	2:385	3:0	4:0	5:0	6:0	7:8	
1	1:3	2:0	3:390	4:0	5:0	6:0	7:4	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:125	2:23	3:17	4:17	5:21	6:3	7:191	
1	1:164	2:44	3:9	4:28	5:9	6:2	7:141	
1	1:2	2:0	3:0	4:196	5:195	6:0	7:5	
1	1:140	2:10	3:9	4:5	5:9	6:4	7:220	
1	1:15	2:377	3:4	4:0	5:0	6:0	7:1	
1	1:0	2:199	3:0	4:0	5:0	6:0	7:199	
1	1:170	2:15	3:52	4:12	5:17	6:5	7:126	
1	1:52	2:30	3:15	4:10	5:8	6:2	7:280	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:3	
1	1:93	2:73	3:13	4:17	5:10	6:1	7:189	
1	1:184	2:17	3:13	4:15	5:4	6:1	7:162	
1	1:173	2:17	3:7	4:6	5:5	6:1	7:188	
1	1:3	2:1	3:387	4:0	5:0	6:0	7:6	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:4	
1	1:198	2:198	3:0	4:0	5:0	6:0	7:2	
1	1:75	2:23	3:25	4:12	5:6	6:2	7:255	
1	1:0	2:197	3:197	4:0	5:0	6:0	7:3	
1	1:194	2:2	3:15	4:10	5:13	6:1	7:162	
1	1:0	2:0	3:0	4:0	5:0	6:397	7:1	
1	1:92	2:18	3:12	4:20	5:4	6:0	7:251	
1	1:3	2:387	3:0	4:0	5:0	6:0	7:7	
1	1:57	2:9	3:27	4:27	5:13	6:1	7:262	
1	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
1	1:99	2:14	3:37	4:13	5:5	6:3	7:226	
1	1:5	2:0	3:193	4:193	5:0	6:0	7:6	
1	1:2	2:0	3:384	4:0	5:0	6:0	7:11	
1	1:0	2:0	3:195	4:195	5:0	6:0	7:6	
1	1:15	2:18	3:10	4:8	5:8	6:4	7:334	
1	1:385	2:0	3:0	4:0	5:0	6:0	7:13	
1	1:388	2:0	3:0	4:0	5:0	6:0	7:10	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:395	2:0	3:0	4:0	5:0	6:0	7:3	
1	1:3	2:382	3:0	4:0	5:0	6:0	7:12	
1	1:9	2:378	3:0	4:0	5:0	6:0	7:9	
1	1:395	2:0	3:0	4:0	5:0	6:0	7:3	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:36	2:21	3:10	4:6	5:6	6:1	7:317	
1	1:5	2:0	3:379	4:0	5:0	6:0	7:13	
1	1:19	2:6	3:6	4:4	5:6	6:1	7:354	
1	1:0	2:389	3:0	4:0	5:0	6:0	7:8	
1	1:241	2:30	3:5	4:15	5:3	6:4	7:99	
1	1:11	2:2	3:10	4:2	5:8	6:2	7:362	
1	1:45	2:1	3:10	4:2	5:3	6:1	7:335	
1	1:3	2:0	3:0	4:384	5:0	6:0	7:11	
1	1:81	2:15	3:13	4:4	5:12	6:4	7:268	
1	1:1	2:196	3:0	4:196	5:0	6:0	7:4	
1	1:5	2:1	3:383	4:0	5:0	6:0	7:8	
1	1:14	2:0	3:364	4:3	5:0	6:0	7:15	
1	1:119	2:6	3:24	4:26	5:3	6:13	7:205	
1	1:141	2:6	3:6	4:13	5:11	6:8	7:211	
1	1:198	2:0	3:198	4:0	5:0	6:0	7:2	
1	1:49	2:8	3:27	4:16	5:16	6:11	7:269	
1	1:3	2:0	3:389	4:0	5:0	6:0	7:4	
1	1:0	2:396	3:0	4:0	5:0	6:0	7:1	
1	1:99	2:15	3:11	4:85	5:42	6:32	7:112	
1	1:2	2:4	3:384	4:1	5:0	6:0	7:5	
1	1:395	2:0	3:0	4:0	5:0	6:0	7:3	
1	1:43	2:24	3:28	4:14	5:29	6:23	7:236	
1	1:52	2:84	3:40	4:17	5:10	6:24	7:169	
1	1:184	2:8	3:5	4:6	5:8	6:3	7:182	
1	1:2	2:395	3:0	4:0	5:0	6:0	7:0	
1	1:100	2:5	3:22	4:22	5:6	6:2	7:239	
1	1:40	2:27	3:2	4:26	5:2	6:2	7:297	
1	1:153	2:64	3:28	4:18	5:7	6:3	7:124	
1	1:284	2:7	3:43	4:18	5:14	6:2	7:28	
1	1:1	2:0	3:0	4:395	5:0	6:0	7:2	
1	1:152	2:21	3:2	4:8	5:4	6:3	7:205	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:4	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:74	2:23	3:32	4:51	5:51	6:13	7:153	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:25	2:15	3:2	4:9	5:8	6:2	7:336	
1	1:14	2:8	3:22	4:7	5:6	6:8	7:333	
1	1:5	2:9	3:13	4:6	5:6	6:9	7:348	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:4	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:10	2:5	3:18	4:6	5:9	6:5	7:344	
1	1:196	2:0	3:0	4:196	5:0	6:0	7:7	
1	1:98	2:8	3:10	4:1	5:2	6:1	7:277	
1	1:76	2:52	3:10	4:18	5:3	6:1	7:236	
1	1:391	2:0	3:0	4:0	5:0	6:0	7:7	
1	1:199	2:198	3:0	4:0	5:0	6:0	7:1	
1	1:24	2:27	3:16	4:11	5:23	6:19	7:276	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:33	2:33	3:31	4:200	5:46	6:25	7:29	
1	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
1	1:2	2:0	3:0	4:0	5:0	6:0	7:394	
1	1:168	2:33	3:42	4:19	5:13	6:18	7:103	
1	1:69	2:26	3:84	4:35	5:36	6:44	7:102	
1	1:86	2:26	3:97	4:30	5:49	6:20	7:90	
1	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
1	1:208	2:17	3:47	4:25	5:24	6:13	7:62	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:1	2:396	3:0	4:0	5:0	6:0	7:0	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:127	2:75	3:21	4:20	5:21	6:6	7:126	
