1	1:11	2:381	3:0	4:0	5:0	6:0	7:6	
1	1:2	2:197	3:197	4:0	5:0	6:0	7:2	
1	1:156	2:13	3:12	4:15	5:5	6:1	7:195	
1	1:169	2:13	3:12	4:23	5:8	6:1	7:170	
1	1:125	2:3	3:54	4:12	5:3	6:1	7:199	
1	1:0	2:391	3:0	4:0	5:0	6:0	7:6	
1	1:1	2:0	3:0	4:0	5:0	6:395	7:1	
1	1:2	2:197	3:197	4:0	5:0	6:0	7:2	
1	1:106	2:11	3:44	4:22	5:5	6:0	7:207	
1	1:213	2:11	3:16	4:6	5:4	6:0	7:147	
1	1:66	2:32	3:23	4:7	5:8	6:0	7:259	
1	1:0	2:0	3:0	4:0	5:0	6:396	7:1	
1	1:70	2:50	3:17	4:22	5:4	6:1	7:233	
1	1:123	2:25	3:7	4:11	5:12	6:1	7:218	
1	1:119	2:12	3:12	4:2	5:13	6:1	7:237	
1	1:3	2:392	3:0	4:0	5:0	6:0	7:3	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:4	2:0	3:190	4:1	5:190	6:0	7:12	
1	1:0	2:0	3:0	4:198	5:198	6:0	7:2	
1	1:179	2:12	3:26	4:6	5:5	6:3	7:166	
1	1:197	2:197	3:0	4:0	5:0	6:0	7:3	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:184	2:15	3:22	4:12	5:4	6:4	7:156	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:132	2:132	3:132	4:0	5:0	6:0	7:1	
1	1:1	2:198	3:198	4:0	5:0	6:0	7:1	
1	1:80	2:5	3:8	4:9	5:9	6:6	7:279	
1	1:13	2:2	3:1	4:0	5:0	6:376	7:4	
1	1:84	2:28	3:7	4:39	5:35	6:11	7:192	
1	1:1	2:0	3:393	4:0	5:0	6:0	7:3	
1	1:180	2:14	3:9	4:21	5:9	6:4	7:158	
1	1:0	2:397	3:0	4:0	5:0	6:0	7:0	
1	1:1	2:199	3:199	4:0	5:0	6:0	7:0	
1	1:1	2:198	3:0	4:198	5:0	6:0	7:1	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:200	
1	1:4	2:1	3:0	4:0	5:0	6:0	7:392	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:35	2:171	3:13	4:7	5:4	6:6	7:160	
1	1:36	2:80	3:80	4:60	5:24	6:8	7:108	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:2	2:393	3:0	4:0	5:0	6:0	7:1	
1	1:133	2:0	3:0	4:133	5:0	6:0	7:133	
1	1:165	2:38	3:27	4:32	5:23	6:3	7:108	
1	1:1	2:0	3:0	4:0	5:0	6:0	7:396	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:144	2:76	3:39	4:38	5:16	6:16	7:67	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:159	2:17	3:20	4:52	5:14	6:8	7:127	
1	1:1	2:390	3:0	4:0	5:0	6:0	7:5	
1	1:5	2:0	3:374	4:0	5:0	6:0	7:17	
1	1:65	2:15	3:13	4:8	5:3	6:1	7:292	
1	1:104	2:10	3:14	4:31	5:15	6:1	7:222	
1	1:9	2:1	3:368	4:0	5:0	6:0	7:19	
1	1:6	2:191	3:0	4:191	5:0	6:0	7:9	
1	1:10	2:0	3:368	4:0	5:0	6:0	7:19	
1	1:2	2:1	3:193	4:192	5:0	6:0	7:9	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:5	
1	1:131	2:131	3:130	4:0	5:0	6:0	7:6	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:5	
1	1:61	2:2	3:10	4:6	5:3	6:1	7:315	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:5	
1	1:35	2:9	3:3	4:8	5:3	6:1	7:338	
1	1:6	2:1	3:374	4:0	5:0	6:0	7:16	
1	1:3	2:197	3:196	4:0	5:0	6:0	7:2	
1	1:381	2:0	3:0	4:0	5:0	6:0	7:17	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:384	2:0	3:0	4:0	5:0	6:0	7:14	
1	1:3	2:377	3:0	4:0	5:0	6:0	7:16	
1	1:155	2:32	3:10	4:14	5:1	6:0	7:184	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:4	
1	1:133	2:25	3:9	4:5	5:5	6:2	7:217	
1	1:144	2:6	3:12	4:12	5:7	6:0	7:216	
1	1:3	2:0	3:375	4:0	5:0	6:0	7:19	
1	1:28	2:6	3:4	4:1	5:2	6:1	7:355	
1	1:10	2:369	3:0	4:1	5:0	6:0	7:17	
1	1:10	2:1	3:1	4:368	5:0	6:0	7:17	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:63	2:10	3:4	4:10	5:4	6:0	7:307	
1	1:0	2:1	3:0	4:2	5:3	6:0	7:389	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:67	2:10	3:3	4:2	5:2	6:0	7:312	
1	1:1	2:376	3:0	4:0	5:0	6:0	7:20	
1	1:87	2:13	3:18	4:10	5:5	6:1	7:264	
1	1:393	2:0	3:0	4:0	5:0	6:0	7:5	
1	1:1	2:392	3:0	4:0	5:0	6:0	7:5	
1	1:394	2:0	3:0	4:0	5:0	6:0	7:4	
1	1:3	2:3	3:372	4:0	5:0	6:0	7:19	
1	1:6	2:1	3:128	4:128	5:128	6:0	7:5	
1	1:71	2:25	3:15	4:26	5:3	6:3	7:254	
1	1:6	2:0	3:1	4:0	5:372	6:0	7:18	
1	1:70	2:33	3:12	4:14	5:4	6:1	7:263	
1	1:3	2:0	3:0	4:374	5:0	6:0	7:20	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:200	
1	1:11	2:0	3:1	4:363	5:0	6:0	7:21	
1	1:112	2:23	3:17	4:20	5:4	6:0	7:220	
1	1:150	2:25	3:11	4:11	5:22	6:1	7:177	
1	1:2	2:0	3:0	4:0	5:392	6:0	7:3	
1	1:14	2:1	3:2	4:361	5:1	6:0	7:18	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:3	2:2	3:1	4:370	5:0	6:0	7:22	
1	1:134	2:11	3:13	4:17	5:4	6:1	7:216	
1	1:7	2:1	3:369	4:0	5:0	6:0	7:19	
1	1:395	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:14	2:0	3:0	4:0	5:366	6:0	7:17	
1	1:4	2:0	3:0	4:193	5:193	6:0	7:8	
1	1:4	2:0	3:1	4:373	5:0	6:0	7:19	
1	1:219	2:19	3:19	4:20	5:4	6:2	7:115	
1	1:62	2:24	3:22	4:16	5:8	6:1	7:265	
1	1:223	2:15	3:16	4:4	5:2	6:1	7:136	
1	1:2	2:0	3:194	4:194	5:0	6:0	7:7	
1	1:3	2:193	3:0	4:193	5:0	6:0	7:9	
1	1:2	2:376	3:0	4:0	5:0	6:0	7:19	
1	1:165	2:11	3:16	4:6	5:1	6:0	7:198	
1	1:100	2:5	3:4	4:11	5:2	6:0	7:275	
1	1:27	2:32	3:5	4:4	5:3	6:1	7:324	
