0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:146	2:72	3:110	4:20	5:23	6:8	7:18	
0	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:237	2:69	3:37	4:44	5:6	6:2	7:1	
0	1:4	2:0	3:394	4:0	5:0	6:0	7:0	
0	1:2	2:396	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:199	4:199	5:0	6:0	7:0	
0	1:3	2:395	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:254	2:87	3:29	4:20	5:5	6:2	7:1	
0	1:261	2:78	3:16	4:20	5:15	6:5	7:2	
0	1:183	2:77	3:99	4:21	5:10	6:3	7:4	
0	1:149	2:41	3:100	4:98	5:4	6:2	7:2	
0	1:147	2:51	3:89	4:27	5:49	6:20	7:13	
0	1:185	2:22	3:99	4:73	5:8	6:8	7:2	
0	1:308	2:6	3:47	4:14	5:18	6:1	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:0	3:396	4:1	5:0	6:0	7:0	
0	1:162	2:23	3:120	4:70	5:16	6:2	7:4	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:134	2:138	3:71	4:22	5:20	6:7	7:5	
0	1:148	2:77	3:118	4:27	5:17	6:6	7:3	
0	1:133	2:101	3:121	4:19	5:19	6:1	7:3	
0	1:147	2:77	3:103	4:42	5:16	6:6	7:5	
0	1:75	2:280	3:21	4:8	5:10	6:3	7:0	
0	1:230	2:78	3:37	4:39	5:11	6:1	7:2	
0	1:255	2:57	3:18	4:54	5:9	6:3	7:1	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:399	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:137	2:97	3:92	4:43	5:15	6:7	7:4	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:199	3:0	4:199	5:0	6:0	7:0	
0	1:227	2:114	3:26	4:13	5:9	6:4	7:4	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:161	2:149	3:28	4:26	5:16	6:6	7:10	
0	1:314	2:18	3:42	4:9	5:12	6:2	7:0	
0	1:267	2:36	3:74	4:8	5:8	6:4	7:1	
0	1:259	2:19	3:61	4:44	5:9	6:3	7:2	
0	1:1	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:262	2:81	3:25	4:11	5:12	6:4	7:0	
0	1:111	2:25	3:235	4:11	5:10	6:3	7:1	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:303	2:18	3:40	4:18	5:14	6:1	7:2	
0	1:199	2:78	3:23	4:53	5:35	6:6	7:3	
0	1:116	2:100	3:96	4:50	5:29	6:2	7:3	
0	1:147	2:111	3:26	4:81	5:22	6:4	7:5	
0	1:238	2:87	3:44	4:24	5:4	6:1	7:0	
0	1:253	2:76	3:26	4:26	5:10	6:3	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:270	2:56	3:13	4:7	5:40	6:6	7:4	
0	1:298	2:47	3:38	4:2	5:5	6:5	7:1	
0	1:175	2:96	3:59	4:56	5:4	6:3	7:4	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:89	2:178	3:44	4:52	5:18	6:6	7:10	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:204	2:136	3:24	4:18	5:12	6:2	7:0	
0	1:397	2:1	3:0	4:0	5:0	6:0	7:0	
0	1:235	2:82	3:50	4:14	5:7	6:3	7:5	
0	1:266	2:53	3:53	4:16	5:5	6:2	7:1	
0	1:90	2:46	3:200	4:53	5:6	6:1	7:1	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:206	2:81	3:13	4:67	5:16	6:6	7:7	
0	1:0	2:0	3:396	4:1	5:0	6:0	7:0	
0	1:398	2:1	3:0	4:0	5:0	6:0	7:0	
0	1:320	2:48	3:11	4:6	5:9	6:1	7:2	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:1	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:0	3:0	4:199	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:99	2:148	3:68	4:43	5:32	6:6	7:1	
0	1:1	2:198	3:0	4:198	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:2	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:66	2:110	3:142	4:46	5:17	6:5	7:10	
0	1:127	2:122	3:64	4:63	5:18	6:1	7:2	
0	1:243	2:35	3:59	4:50	5:6	6:3	7:1	
0	1:60	2:102	3:88	4:112	5:25	6:6	7:4	
0	1:183	2:92	3:72	4:41	5:6	6:2	7:1	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:192	2:58	3:105	4:31	5:7	6:4	7:0	
0	1:132	2:75	3:85	4:68	5:16	6:16	7:4	
0	1:296	2:39	3:45	4:10	5:4	6:3	7:1	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:198	3:199	4:0	5:0	6:0	7:0	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:0	3:1	4:396	5:0	6:0	7:0	
0	1:330	2:3	3:22	4:13	5:23	6:4	7:1	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:311	2:41	3:23	4:7	5:11	6:1	7:2	
0	1:143	2:144	3:72	4:27	5:5	6:3	7:2	
0	1:294	2:54	3:18	4:22	5:4	6:0	7:4	
0	1:243	2:104	3:29	4:15	5:4	6:1	7:1	
0	1:349	2:14	3:21	4:10	5:1	6:1	7:0	
0	1:199	2:0	3:0	4:199	5:0	6:0	7:0	
