1	1:-53	2:-15	3:-21	4:-16	5:-39	6:9	
1	1:-31	2:-42	3:-45	4:-62	5:-63	6:112	
1	1:-31	2:-34	3:-21	4:-26	5:-39	6:4	
1	1:-184	2:-205	3:-190	4:-187	5:-245	6:-207	
1	1:-43	2:-51	3:-66	4:-81	5:-59	6:-25	
1	1:-50	2:-31	3:-41	4:-61	5:-68	6:-36	
1	1:-45	2:-43	3:-82	4:-67	5:-108	6:-68	
1	1:-72	2:-35	3:-38	4:-72	5:-78	6:-41	
1	1:-29	2:-40	3:-26	4:-42	5:-63	6:124	
1	1:-48	2:-65	3:-50	4:-69	5:-72	6:-50	
1	1:3	2:-19	3:-31	4:-56	5:-71	6:119	
1	1:-24	2:-21	3:-40	4:-74	5:-77	6:-26	
1	1:-74	2:-93	3:-71	4:-74	5:-92	6:-31	
1	1:-30	2:130	3:-20	4:-45	5:-41	6:-12	
1	1:-56	2:-33	3:-31	4:-42	5:-57	6:-27	
1	1:-188	2:0	3:-158	4:-174	5:-170	6:-184	
1	1:-146	2:-138	3:-164	4:-171	5:-178	6:-164	
1	1:-136	2:0	3:-159	4:-175	5:-184	6:-164	
1	1:-2	2:-21	3:-21	4:-33	5:-44	6:-31	
1	1:-28	2:-64	3:-43	4:-77	5:-75	6:-23	
1	1:-33	2:-19	3:-53	4:-23	5:-65	6:-58	
1	1:-9	2:-12	3:-7	4:-48	5:-54	6:-42	
1	1:-89	2:-54	3:-74	4:-71	5:-77	6:-84	
1	1:-164	2:-163	3:-173	4:-191	5:-208	6:-185	
1	1:-14	2:-39	3:-77	4:-63	5:-86	6:-68	
1	1:-24	2:3	3:-38	4:-56	5:-58	6:-34	
1	1:-33	2:-45	3:-52	4:-76	5:-88	6:-29	
1	1:-62	2:-14	3:-18	4:-14	5:-41	6:36	
1	1:0	2:0	3:-155	4:-181	5:-196	6:0	
1	1:-33	2:-38	3:-43	4:-43	5:-49	6:16	
1	1:7	2:147	3:-9	4:-29	5:-60	6:33	
1	1:-16	2:-30	3:-33	4:-47	5:-81	6:0	
1	1:-147	2:-153	3:-156	4:-157	5:-193	6:-112	
1	1:-5	2:-26	3:-32	4:-81	5:-62	6:-1	
1	1:-163	2:-159	3:-180	4:-192	5:-214	6:-146	
1	1:0	2:-177	3:-149	4:-165	5:-200	6:-119	
1	1:-10	2:4	3:-13	4:-8	5:-59	6:38	
1	1:0	2:15	3:-16	4:-21	5:-31	6:158	
1	1:-152	2:-148	3:-152	4:-167	5:-188	6:0	
1	1:132	2:132	3:-35	4:-41	5:-43	6:132	
1	1:-151	2:-159	3:-154	4:-180	5:-201	6:0	
1	1:0	2:0	3:-160	4:-166	5:-194	6:0	
1	1:-154	2:-150	3:-162	4:-171	5:-196	6:0	
1	1:-178	2:-159	3:-179	4:-168	5:-177	6:0	
