1	1:1	2:-8	3:-8	4:-17	5:-23	6:7	
1	1:-39	2:-42	3:89	4:89	5:89	6:89	
1	1:-93	2:-51	3:-59	4:-52	5:-37	6:-43	
1	1:-33	2:-11	3:-14	4:100	5:-16	6:100	
1	1:-153	2:-177	3:-152	4:-153	5:-149	6:-158	
1	1:-72	2:-46	3:52	4:-70	5:-53	6:-65	
1	1:-156	2:-155	3:-172	4:-165	5:-162	6:-153	
1	1:-47	2:-62	3:53	4:-50	5:-47	6:53	
1	1:-18	2:-39	3:-48	4:-24	5:-7	6:-24	
1	1:60	2:60	3:-91	4:60	5:-56	6:-74	
1	1:-40	2:-28	3:-29	4:-39	5:-61	6:-56	
1	1:-1	2:16	3:3	4:123	5:123	6:-18	
1	1:-155	2:-167	3:-165	4:-158	5:-157	6:-173	
1	1:-22	2:-29	3:-59	4:-57	5:-68	6:-79	
1	1:90	2:90	3:90	4:-48	5:-70	6:90	
1	1:-104	2:-38	3:-44	4:-39	5:-52	6:-47	
1	1:-167	2:-171	3:-187	4:-151	5:-156	6:-147	
1	1:-138	2:-115	3:-153	4:-149	5:-151	6:-158	
1	1:22	2:110	3:-8	4:110	5:-22	6:110	
1	1:1	2:96	3:96	4:-21	5:-31	6:96	
1	1:7	2:-8	3:109	4:-8	5:-43	6:-7	
1	1:-139	2:-181	3:-169	4:-164	5:-149	6:-142	
1	1:0	2:0	3:-148	4:-142	5:-144	6:-161	
1	1:81	2:81	3:-59	4:81	5:81	6:-57	
1	1:-63	2:-38	3:104	4:-43	5:-47	6:-42	
1	1:0	2:-39	3:-59	4:-34	5:-40	6:-31	
1	1:-74	2:-46	3:-82	4:-74	5:-55	6:58	
1	1:-33	2:-28	3:-32	4:-30	5:-41	6:-38	
1	1:-40	2:-43	3:-58	4:-66	5:-60	6:-83	
1	1:-71	2:-48	3:-59	4:-66	5:-67	6:-50	
1	1:-32	2:-45	3:-81	4:-46	5:-55	6:-65	
1	1:-44	2:-59	3:-60	4:-40	5:101	6:-52	
1	1:-73	2:-42	3:-45	4:-62	5:-47	6:-34	
