0	1:166	2:6	3:-26	4:-24	5:-34	6:-56	
0	1:-138	2:0	3:-181	4:-173	5:-200	6:-197	
0	1:-112	2:0	3:-192	4:-178	5:-205	6:-212	
0	1:-116	2:-144	3:-188	4:-191	5:-204	6:-222	
0	1:41	2:27	3:15	4:-9	5:-35	6:-58	
0	1:146	2:-15	3:-19	4:-35	5:-67	6:-77	
0	1:5	2:-46	3:-42	4:-39	5:-91	6:-97	
0	1:136	2:-32	3:-37	4:-48	5:-49	6:-64	
0	1:-132	2:-153	3:-182	4:-183	5:-195	6:-212	
0	1:-136	2:-159	3:-197	4:-168	5:-208	6:-208	
0	1:0	2:-160	3:-195	4:-173	5:-191	6:-220	
0	1:-158	2:-152	3:-206	4:-185	5:-220	6:-226	
0	1:-6	2:6	3:-45	4:-33	5:-40	6:-71	
0	1:-37	2:-16	3:4	4:-31	5:-44	6:-37	
0	1:-5	2:-13	3:-31	4:-16	5:-43	6:-48	
0	1:-118	2:-154	3:-157	4:-177	5:-197	6:-213	
0	1:-12	2:-26	3:-46	4:-49	5:-93	6:-87	
0	1:8	2:118	3:-45	4:-65	5:-75	6:-89	
0	1:-148	2:-142	3:-198	4:-187	5:-211	6:-228	
0	1:145	2:-17	3:-18	4:-23	5:-62	6:-71	
0	1:-4	2:1	3:-11	4:-19	5:-44	6:-46	
0	1:-13	2:3	3:-39	4:-30	5:-43	6:-74	
0	1:-156	2:-136	3:-178	4:-177	5:-220	6:-205	
0	1:1	2:13	3:-20	4:-23	5:-31	6:-36	
0	1:115	2:-30	3:-43	4:-65	5:-91	6:-88	
0	1:-37	2:-49	3:-63	4:-69	5:-100	6:-89	
0	1:-53	2:-43	3:-75	4:-79	5:-108	6:-114	
0	1:-38	2:-65	3:-83	4:-84	5:-92	6:-104	
0	1:118	2:-22	3:-47	4:-63	5:-95	6:-97	
0	1:-61	2:-76	3:-85	4:-98	5:-109	6:-105	
0	1:0	2:-137	3:-168	4:-166	5:-194	6:-201	
