1	1:-152	2:-144	3:-166	4:-154	5:-181	6:-150	
1	1:-50	2:-37	3:102	4:-54	5:-70	6:-39	
1	1:-29	2:-27	3:-34	4:-18	5:-44	6:152	
1	1:-10	2:-30	3:-32	4:-39	5:-35	6:135	
1	1:109	2:-33	3:-26	4:109	5:-39	6:109	
1	1:17	2:-5	3:-14	4:-17	5:-30	6:152	
1	1:13	2:-4	3:-16	4:0	5:-27	6:43	
1	1:-33	2:-25	3:-26	4:-32	5:-27	6:146	
1	1:-3	2:3	3:-23	4:-20	5:-43	6:26	
1	1:-33	2:-63	3:-54	4:-48	5:-81	6:-19	
1	1:95	2:-48	3:-53	4:-56	5:-61	6:-46	
1	1:-42	2:-54	3:-58	4:-57	5:-57	6:114	
1	1:1	2:141	3:-33	4:-29	5:-34	6:18	
1	1:-3	2:-54	3:7	4:-5	5:-16	6:83	
1	1:-57	2:-19	3:-33	4:-59	5:-94	6:23	
1	1:-13	2:-24	3:-35	4:-25	5:-83	6:26	
1	1:89	2:89	3:89	4:-54	5:-81	6:-11	
1	1:-57	2:-38	3:-45	4:-47	5:-71	6:-11	
1	1:-86	2:-46	3:-65	4:-54	5:-94	6:92	
1	1:-31	2:-12	3:-21	4:-29	5:-31	6:2	
1	1:-163	2:-164	3:-137	4:-167	5:-163	6:-168	
1	1:99	2:-68	3:99	4:-43	5:-77	6:-74	
1	1:-147	2:-183	3:-182	4:-183	5:-197	6:-184	
1	1:-155	2:0	3:-154	4:-159	5:-162	6:-161	
1	1:73	2:73	3:-66	4:73	5:73	6:-91	
1	1:0	2:-167	3:-136	4:-152	5:-173	6:-103	
1	1:-34	2:-21	3:-34	4:115	5:-41	6:6	
1	1:-19	2:-52	3:97	4:97	5:-45	6:-13	
1	1:0	2:150	3:-10	4:-24	5:-11	6:150	
1	1:-53	2:94	3:94	4:94	5:-77	6:-76	
1	1:129	2:-31	3:-39	4:-61	5:-50	6:-33	
1	1:-9	2:11	3:-22	4:-42	5:-33	6:-1	
1	1:-34	2:-29	3:-15	4:-41	5:-46	6:121	
1	1:-22	2:-29	3:-35	4:-51	5:-48	6:-16	
1	1:-160	2:-141	3:-152	4:-159	5:-170	6:-149	
1	1:-63	2:-57	3:-25	4:-45	5:-53	6:-43	
1	1:-200	2:-136	3:-156	4:-140	5:-170	6:-172	
1	1:-141	2:-139	3:-151	4:-168	5:-164	6:-173	
1	1:-12	2:-19	3:10	4:15	5:5	6:-14	
1	1:0	2:0	3:-152	4:-175	5:-165	6:-173	
1	1:-26	2:114	3:-55	4:-49	5:-48	6:-1	
1	1:-26	2:-33	3:-21	4:-10	5:-18	6:17	
1	1:-23	2:1	3:-13	4:-20	5:-14	6:12	
1	1:-14	2:-16	3:-26	4:-53	5:-57	6:144	
1	1:-142	2:-145	3:-161	4:-154	5:-178	6:-80	
1	1:-4	2:-27	3:-13	4:-18	5:-21	6:63	
1	1:-28	2:4	3:-19	4:-40	5:-28	6:47	
1	1:148	2:11	3:-34	4:0	5:-24	6:38	
1	1:-55	2:-12	3:3	4:-25	5:-31	6:4	
1	1:-15	2:-22	3:-43	4:-17	5:-23	6:24	
1	1:99	2:-42	3:-47	4:-62	5:-75	6:10	
1	1:-66	2:-70	3:-66	4:-67	5:-82	6:-13	
1	1:-9	2:0	3:-25	4:19	5:17	6:62	
1	1:-143	2:-139	3:-151	4:-163	5:-151	6:-94	
1	1:-27	2:-2	3:19	4:14	5:-5	6:63	
1	1:71	2:-69	3:71	4:-68	5:-84	6:-19	
1	1:-3	2:-17	3:-6	4:7	5:16	6:15	
1	1:-24	2:136	3:-16	4:-14	5:-28	6:-33	
1	1:26	2:13	3:-5	4:5	5:10	6:24	
1	1:107	2:4	3:-28	4:-42	5:-53	6:8	
1	1:-158	2:-149	3:-170	4:-146	5:-165	6:-90	
1	1:0	2:-176	3:-151	4:-160	5:-161	6:-116	
1	1:-53	2:-21	3:-31	4:-34	5:-27	6:-31	
1	1:-35	2:-37	3:11	4:130	5:-14	6:130	
1	1:-59	2:-32	3:-29	4:-36	5:-44	6:-62	
1	1:-158	2:-175	3:-186	4:-173	5:-220	6:-207	
1	1:118	2:-46	3:-36	4:-32	5:-64	6:-62	
1	1:-45	2:-43	3:-47	4:-61	5:-67	6:148	
1	1:0	2:-145	3:0	4:-153	5:-178	6:-203	
1	1:151	2:15	3:-27	4:-21	5:-23	6:-34	
1	1:112	2:112	3:112	4:112	5:-39	6:-62	
