0	1:-4	2:-13	3:136	4:-43	5:-95	6:-78	
0	1:-63	2:-20	3:-49	4:-24	5:149	6:-78	
0	1:-188	2:-169	3:-182	4:-179	5:-248	6:-222	
0	1:-42	2:-37	3:-50	4:-84	5:-110	6:-119	
0	1:-149	2:-148	3:-167	4:-200	5:-199	6:-201	
0	1:-63	2:-54	3:-76	4:-88	5:-121	6:-147	
0	1:-50	2:-51	3:-25	4:-90	5:-156	6:-157	
0	1:-171	2:-183	3:-192	4:-215	5:-233	6:0	
0	1:0	2:-168	3:-148	4:-188	5:-206	6:-221	
0	1:-52	2:-53	3:-73	4:-71	5:-120	6:-99	
0	1:-33	2:-14	3:121	4:-71	5:-97	6:-96	
0	1:0	2:-155	3:-147	4:-179	5:-199	6:-216	
0	1:-38	2:-53	3:-56	4:-66	5:-102	6:-100	
0	1:-182	2:-167	3:-160	4:-188	5:-214	6:-208	
0	1:-8	2:-41	3:-22	4:-50	5:-85	6:-101	
0	1:-72	2:-117	3:-62	4:-93	5:-114	6:-108	
0	1:-20	2:10	3:-21	4:-39	5:-78	6:-69	
0	1:-158	2:-219	3:-170	4:-181	5:-218	6:-224	
0	1:-44	2:-99	3:-35	4:-83	5:-96	6:-102	
0	1:-27	2:-23	3:-27	4:-68	5:-77	6:-86	
0	1:-175	2:-145	3:-187	4:-184	5:-242	6:-224	
0	1:-38	2:-70	3:-30	4:-72	5:-94	6:-90	
0	1:-66	2:-32	3:-56	4:-114	5:-98	6:-104	
0	1:-166	2:-170	3:-211	4:-202	5:-205	6:-219	
0	1:81	2:-63	3:-87	4:-129	5:-132	6:-134	
0	1:-22	2:-22	3:-44	4:-64	5:-90	6:-84	
0	1:-50	2:-51	3:-69	4:-70	5:-112	6:-123	
0	1:-56	2:-51	3:-52	4:-67	5:-79	6:-97	
0	1:95	2:95	3:-53	4:-79	5:-159	6:-108	
0	1:-47	2:-4	3:-18	4:-68	5:-78	6:-82	
0	1:-176	2:-175	3:-175	4:-225	5:-216	6:-223	
0	1:-20	2:-26	3:-70	4:-45	5:-59	6:-105	
0	1:95	2:-58	3:-90	4:-100	5:-136	6:-114	
0	1:-24	2:-17	3:-59	4:-79	5:-103	6:-102	
0	1:-194	2:-162	3:-172	4:-180	5:-204	6:-227	
0	1:-49	2:-48	3:-69	4:-87	5:-98	6:-111	
0	1:-148	2:-150	3:-175	4:-185	5:-201	6:-209	
0	1:-40	2:-48	3:-59	4:-87	5:-91	6:-87	
0	1:-145	2:-142	3:-148	4:-180	5:-224	6:-240	
0	1:-166	2:-146	3:-157	4:-185	5:-230	6:-247	
0	1:-71	2:-44	3:-50	4:-63	5:-81	6:-95	
0	1:-35	2:-45	3:-30	4:-70	5:-122	6:-121	
0	1:-88	2:-26	3:-34	4:-57	5:-80	6:-91	
0	1:-24	2:-33	3:-24	4:-58	5:-88	6:-99	
0	1:-169	2:-159	3:-188	4:-190	5:-217	6:-220	
0	1:-28	2:-40	3:-75	4:-87	5:-106	6:-92	
0	1:-168	2:-181	3:-211	4:-194	5:-222	6:-220	
0	1:-6	2:-27	3:-24	4:-47	5:-75	6:-86	
0	1:-17	2:-19	3:-12	4:-38	5:-64	6:-86	
0	1:-154	2:-170	3:-197	4:-203	5:-216	6:-223	
0	1:-54	2:-38	3:-60	4:-69	5:-123	6:-128	
0	1:-34	2:-21	3:-40	4:-55	5:-79	6:-88	
0	1:101	2:-37	3:-37	4:-65	5:-94	6:-111	
0	1:-12	2:104	3:-32	4:-73	5:-115	6:-93	
0	1:-184	2:-165	3:-182	4:-188	5:-218	6:-223	
0	1:-26	2:-24	3:-36	4:-102	5:-116	6:-110	
0	1:-101	2:-48	3:-39	4:-101	5:-118	6:-139	
0	1:-8	2:137	3:-40	4:-41	5:-89	6:-73	
0	1:-16	2:3	3:-25	4:-56	5:-59	6:-75	
0	1:-138	2:-149	3:-171	4:-211	5:-209	6:-210	
0	1:-26	2:-19	3:-38	4:-47	5:-95	6:-93	
0	1:-144	2:-139	3:-156	4:-197	5:-234	6:-215	
0	1:-69	2:-52	3:-72	4:-124	5:-94	6:-111	
0	1:-39	2:-48	3:-77	4:-57	5:-92	6:-95	
0	1:0	2:-146	3:0	4:-182	5:-218	6:-243	
0	1:-153	2:-174	3:-176	4:-189	5:-219	6:-232	
0	1:-40	2:-17	3:-40	4:-58	5:-64	6:-72	
0	1:8	2:-12	3:-36	4:-50	5:-82	6:-63	
0	1:-39	2:-70	3:-78	4:-108	5:-158	6:-125	
0	1:0	2:-179	3:-176	4:-175	5:-202	6:-223	
0	1:-26	2:-38	3:-21	4:-67	5:-95	6:-107	
0	1:-146	2:-167	3:-173	4:-182	5:-193	6:-237	
0	1:-59	2:-57	3:-35	4:-95	5:-116	6:-115	
0	1:-39	2:-57	3:-59	4:-83	5:-104	6:-111	
0	1:-37	2:-22	3:-14	4:-54	5:-78	6:-76	
0	1:-70	2:-57	3:-50	4:-76	5:-64	6:-79	
0	1:-42	2:-81	3:-52	4:-63	5:-67	6:-77	
0	1:-32	2:-48	3:-65	4:-65	5:-101	6:-120	
0	1:-24	2:-23	3:-48	4:-32	5:-58	6:-84	
0	1:-155	2:-169	3:-197	4:-189	5:-204	6:-231	
0	1:-153	2:-178	3:-186	4:-200	5:-244	6:-245	
0	1:-52	2:-48	3:-52	4:-80	5:-80	6:-89	
0	1:-34	2:-57	3:-57	4:-76	5:-70	6:-91	
0	1:-76	2:-62	3:-62	4:-105	5:-107	6:-152	
0	1:-11	2:-39	3:-4	4:-50	5:-77	6:-77	
0	1:-17	2:-5	3:-41	4:-73	5:-73	6:-72	
0	1:-56	2:-54	3:-62	4:-75	5:-107	6:-145	
0	1:-46	2:91	3:91	4:-97	5:-115	6:-128	
0	1:-36	2:-30	3:-65	4:-63	5:-130	6:-111	
0	1:-33	2:-47	3:-36	4:-61	5:-92	6:-82	
0	1:-146	2:-174	3:-185	4:-209	5:-215	6:-221	
0	1:-165	2:-166	3:-169	4:-186	5:-203	6:0	
0	1:-57	2:-45	3:-42	4:-84	5:-112	6:-98	
0	1:-47	2:-55	3:-52	4:-73	5:-109	6:-103	
0	1:-145	2:-159	3:-207	4:-199	5:-203	6:-210	
0	1:-60	2:-63	3:-127	4:-81	5:-127	6:-114	
0	1:-179	2:-165	3:-204	4:-194	5:-216	6:-221	
0	1:-61	2:-28	3:-36	4:-48	5:-81	6:-107	
0	1:-42	2:2	3:-26	4:-30	5:-64	6:-64	
0	1:-55	2:-33	3:-30	4:-77	5:-78	6:159	
0	1:-27	2:-32	3:-37	4:-70	5:-73	6:-83	
0	1:-46	2:-35	3:-58	4:-65	5:-109	6:-126	
0	1:-81	2:-13	3:-37	4:-44	5:-74	6:-74	
0	1:-139	2:-147	3:-172	4:-215	5:-241	6:-221	
0	1:-21	2:-7	3:-36	4:-54	5:-72	6:-71	
0	1:-48	2:-62	3:-53	4:-87	5:-125	6:-121	
0	1:-40	2:-60	3:-80	4:-90	5:-96	6:-102	
0	1:-46	2:-34	3:112	4:-65	5:-101	6:-114	
0	1:-173	2:-164	3:-192	4:-193	5:-222	6:-210	
0	1:-120	2:-177	3:-169	4:-178	5:-205	6:-237	
0	1:-162	2:-143	3:-139	4:-208	5:-227	6:-254	
0	1:138	2:-13	3:6	4:-53	5:-79	6:-87	
0	1:0	2:-174	3:-172	4:-190	5:-220	6:-210	
0	1:-40	2:-32	3:-66	4:-72	5:-136	6:-145	
0	1:-15	2:121	3:-51	4:-83	5:-130	6:-94	
0	1:-54	2:-30	3:-61	4:-76	5:-82	6:-125	
0	1:-47	2:93	3:-49	4:-93	5:-132	6:-136	
0	1:-60	2:-19	3:-45	4:-59	5:-91	6:-100	
0	1:-65	2:-38	3:-48	4:-100	5:-102	6:-106	
0	1:-32	2:-15	3:-17	4:-50	5:-64	6:-91	
0	1:-39	2:-45	3:-60	4:-90	5:-99	6:-112	
0	1:-26	2:130	3:-23	4:-73	5:-90	6:-97	
0	1:-86	2:-66	3:-91	4:-85	5:-127	6:-126	
0	1:-62	2:-44	3:-41	4:-104	5:-108	6:-124	
0	1:-38	2:-68	3:-58	4:-109	5:-119	6:-111	
0	1:-1	2:-26	3:118	4:-72	5:-86	6:-108	
0	1:-139	2:-163	3:-185	4:-200	5:-217	6:-249	
0	1:-165	2:-174	3:-189	4:-169	5:-211	6:-217	
0	1:5	2:10	3:-22	4:-32	5:-59	6:-68	
0	1:-20	2:-11	3:-40	4:-63	5:-76	6:-83	
0	1:-40	2:-44	3:-38	4:-58	5:-85	6:-85	
0	1:-212	2:-166	3:-179	4:-202	5:-217	6:-216	
0	1:-158	2:-143	3:-174	4:-195	5:-212	6:-218	
0	1:-165	2:-179	3:-185	4:-193	5:-216	6:-222	
0	1:1	2:-7	3:-12	4:-33	5:-87	6:-71	
0	1:-33	2:-54	3:-42	4:-70	5:-90	6:-106	
0	1:-206	2:-151	3:-201	4:-199	5:-215	6:-242	
0	1:-113	2:-156	3:-150	4:-195	5:-220	6:-240	
0	1:-159	2:-156	3:-151	4:-192	5:-216	6:-215	
0	1:-62	2:-47	3:-59	4:-72	5:-87	6:-104	
0	1:-173	2:-160	3:-199	4:-193	5:-215	6:-247	
0	1:-184	2:-136	3:-175	4:-187	5:-212	6:-216	
0	1:-46	2:-42	3:-33	4:-91	5:-113	6:-116	
0	1:-108	2:-33	3:-75	4:-68	5:-127	6:-121	
0	1:-30	2:-18	3:-58	4:-65	5:-91	6:-91	
0	1:-54	2:-39	3:-58	4:-98	5:-154	6:-141	
0	1:-154	2:-146	3:-177	4:-200	5:-217	6:-217	
0	1:-38	2:-63	3:-42	4:-64	5:-79	6:-106	
0	1:-8	2:-16	3:-16	4:-59	5:-89	6:-110	
0	1:-154	2:-167	3:-174	4:-186	5:-231	6:-231	
0	1:15	2:-18	3:-21	4:-38	5:-80	6:-106	
0	1:105	2:-36	3:-61	4:-85	5:-114	6:-124	
0	1:-34	2:-51	3:-66	4:-84	5:-108	6:-114	
0	1:89	2:89	3:-81	4:-112	5:-135	6:89	
0	1:-72	2:115	3:-56	4:-90	5:-86	6:-106	
0	1:29	2:10	3:-13	4:-27	5:-86	6:-80	
0	1:-180	2:0	3:-142	4:-197	5:-213	6:-244	
0	1:-7	2:-7	3:-21	4:-47	5:-78	6:-69	
0	1:-37	2:-91	3:-44	4:-104	5:-103	6:-104	
0	1:-157	2:-171	3:-240	4:-190	5:-228	6:-209	
0	1:20	2:12	3:-52	4:-62	5:-52	6:-48	
0	1:-52	2:-15	3:-22	4:-56	5:-65	6:-88	
0	1:-26	2:-46	3:-47	4:-75	5:-106	6:-108	
0	1:-24	2:0	3:113	4:-82	5:-102	6:-116	
0	1:-163	2:-180	3:-183	4:-179	5:-213	6:-222	
0	1:3	2:-40	3:-52	4:-52	5:-91	6:-108	
0	1:-50	2:-38	3:-52	4:-93	5:-148	6:-102	
0	1:-19	2:-21	3:-37	4:-71	5:-85	6:-101	
0	1:0	2:0	3:-167	4:-198	5:-221	6:-241	
0	1:-15	2:-64	3:-15	4:-68	5:-89	6:-117	
0	1:-161	2:-158	3:-161	4:-193	5:-209	6:-214	
0	1:-33	2:-28	3:-50	4:-66	5:-125	6:-111	
0	1:-158	2:-180	3:-192	4:-196	5:-215	6:-214	
0	1:-161	2:-180	3:-176	4:-192	5:-218	6:-213	
0	1:-42	2:-50	3:-67	4:-87	5:-101	6:-108	
0	1:-85	2:-66	3:-72	4:-97	5:-114	6:-143	
