1	1:-74	2:-52	3:73	4:-73	5:-72	6:-75	
1	1:124	2:-13	3:124	4:124	5:124	6:-17	
1	1:-31	2:-15	3:133	4:-9	5:-19	6:-7	
1	1:-37	2:-41	3:102	4:102	5:102	6:-43	
1	1:-182	2:-171	3:-173	4:-183	5:-207	6:-205	
1	1:-8	2:-6	3:-29	4:-24	5:-46	6:-45	
1	1:-17	2:128	3:-24	4:-44	5:-48	6:-57	
1	1:0	2:-18	3:-48	4:-50	5:-56	6:-76	
1	1:109	2:109	3:-34	4:109	5:-69	6:-56	
1	1:108	2:-49	3:108	4:-27	5:-43	6:-64	
1	1:-85	2:-6	3:-31	4:-49	5:88	6:-64	
1	1:137	2:137	3:-10	4:-20	5:-29	6:-30	
1	1:-9	2:136	3:-14	4:-3	5:-7	6:-25	
1	1:0	2:-131	3:0	4:-142	5:-158	6:-163	
1	1:-31	2:-2	3:113	4:-27	5:-48	6:-60	
1	1:1	2:-20	3:-40	4:-25	5:-29	6:-69	
1	1:-19	2:-6	3:130	4:-22	5:-14	6:-42	
1	1:0	2:-158	3:-147	4:-156	5:-166	6:-165	
1	1:-76	2:-46	3:-65	4:-75	5:-73	6:-63	
1	1:-25	2:-28	3:-53	4:-27	5:-24	6:-33	
1	1:-20	2:-41	3:-49	4:-43	5:-77	6:-74	
1	1:-141	2:0	3:-141	4:-143	5:-161	6:-165	
1	1:-20	2:118	3:-25	4:-43	5:-51	6:-72	
1	1:-62	2:84	3:-52	4:-72	5:-84	6:-114	
1	1:118	2:1	3:-29	4:-38	5:-48	6:-21	
1	1:-21	2:-58	3:0	4:-34	5:-49	6:-56	
1	1:-29	2:-43	3:-57	4:-71	5:-73	6:-83	
1	1:-47	2:-39	3:-52	4:-44	5:-56	6:-79	
1	1:-41	2:104	3:-44	4:-47	5:104	6:-43	
1	1:-40	2:-34	3:-43	4:-28	5:-40	6:-48	
1	1:-54	2:-65	3:-30	4:-63	5:-52	6:-84	
1	1:-26	2:-15	3:87	4:87	5:-60	6:-97	
1	1:6	2:11	3:-7	4:-11	5:-27	6:-23	
1	1:-67	2:-66	3:-69	4:-61	5:-79	6:-87	
1	1:-13	2:-24	3:-61	4:-37	5:-35	6:-40	
1	1:-145	2:-145	3:0	4:-146	5:-165	6:-175	
1	1:127	2:-12	3:-16	4:-14	5:-27	6:-47	
