1	1:-153	2:-189	3:-136	4:-157	5:-159	6:-169	
1	1:-64	2:-32	3:105	4:-39	5:-67	6:-82	
1	1:-29	2:-34	3:-66	4:77	5:-95	6:-104	
1	1:118	2:1	3:118	4:-19	5:-35	6:-38	
1	1:-65	2:-53	3:-34	4:-37	5:-68	6:-82	
1	1:-1	2:-26	3:3	4:-8	5:-85	6:-65	
1	1:-157	2:-157	3:-167	4:-180	5:-175	6:-191	
1	1:-9	2:-2	3:-2	4:-29	5:-29	6:-55	
1	1:157	2:157	3:157	4:2	5:-11	6:-24	
1	1:-36	2:-35	3:102	4:102	5:-41	6:-63	
1	1:93	2:-55	3:93	4:93	5:-53	6:-79	
1	1:108	2:-39	3:-41	4:108	5:-59	6:-53	
1	1:-145	2:-127	3:-141	4:0	5:-156	6:-172	
1	1:-68	2:-32	3:-36	4:-48	5:-60	6:-53	
1	1:-140	2:-151	3:-163	4:-156	5:-153	6:-175	
1	1:139	2:-55	3:-22	4:-15	5:-21	6:-52	
1	1:0	2:0	3:0	4:-154	5:-162	6:-153	
1	1:110	2:-8	3:-30	4:110	5:-36	6:-66	
1	1:-150	2:-155	3:-160	4:-153	5:-174	6:-185	
1	1:-180	2:-151	3:-164	4:-144	5:-159	6:-168	
1	1:112	2:112	3:112	4:112	5:-46	6:-65	
1	1:-27	2:117	3:-33	4:-35	5:-34	6:-53	
1	1:-59	2:-52	3:-25	4:-44	5:-58	6:-64	
1	1:95	2:-67	3:-43	4:-41	5:-72	6:-61	
1	1:-29	2:-6	3:12	4:-3	5:-6	6:-24	
1	1:-44	2:-13	3:-36	4:-12	5:-61	6:-58	
1	1:-44	2:-35	3:-31	4:-38	5:-53	6:-52	
1	1:4	2:-33	3:-4	4:6	5:-23	6:-26	
1	1:-16	2:-1	3:136	4:-5	5:-26	6:-28	
1	1:-47	2:97	3:-38	4:-38	5:-53	6:-58	
1	1:-30	2:108	3:108	4:108	5:-32	6:108	
1	1:-24	2:-4	3:-8	4:-28	5:-20	6:-24	
1	1:-49	2:-8	3:-66	4:-56	5:-68	6:-62	
1	1:-154	2:-169	3:-173	4:-161	5:-165	6:-168	
1	1:-46	2:-81	3:-45	4:-42	5:-51	6:-55	
1	1:-68	2:-44	3:117	4:-43	5:-42	6:-35	
1	1:-32	2:87	3:87	4:-51	5:-53	6:-56	
1	1:2	2:-19	3:-41	4:-52	5:-63	6:-58	
1	1:-179	2:-175	3:-200	4:-177	5:-209	6:-206	
1	1:-17	2:-42	3:-35	4:-27	5:-32	6:-41	
1	1:123	2:123	3:-19	4:-20	5:-39	6:-75	
1	1:-8	2:-6	3:-52	4:-27	5:-46	6:-64	
1	1:5	2:-40	3:-47	4:-24	5:-36	6:-84	
1	1:-54	2:-17	3:-29	4:-55	5:-44	6:-52	
1	1:3	2:0	3:-5	4:-17	5:-26	6:-33	
1	1:-26	2:0	3:-1	4:-25	5:-38	6:-34	
1	1:139	2:-17	3:-38	4:-21	5:-57	6:-63	
1	1:-145	2:-140	3:-204	4:-167	5:-210	6:-201	
1	1:0	2:0	3:-160	4:-194	5:-199	6:-192	
1	1:118	2:-18	3:-53	4:-60	5:-72	6:-85	
1	1:0	2:-32	3:-79	4:-65	5:-97	6:-99	
1	1:-29	2:-24	3:-44	4:-29	5:-61	6:-79	
1	1:111	2:111	3:-77	4:-68	5:-80	6:-93	
1	1:-48	2:-67	3:-63	4:-78	5:-96	6:-115	
1	1:-35	2:-40	3:-31	4:-49	5:-84	6:-97	
1	1:104	2:-37	3:-85	4:-101	5:-115	6:-112	
1	1:0	2:-143	3:-203	4:-167	5:-231	6:-203	
1	1:-171	2:-139	3:-150	4:-169	5:-212	6:-207	
1	1:0	2:-114	3:-184	4:-188	5:-198	6:-192	
1	1:135	2:16	3:-50	4:-46	5:-70	6:-57	
1	1:-29	2:-17	3:-40	4:-57	5:-91	6:-79	
1	1:-193	2:-160	3:-184	4:-180	5:-210	6:-212	
1	1:126	2:-14	3:-54	4:-38	5:-71	6:-71	
1	1:-30	2:112	3:-62	4:-63	5:-104	6:-81	
1	1:0	2:-137	3:-173	4:-172	5:-203	6:-217	
1	1:-138	2:-160	3:-163	4:-188	5:-219	6:-208	
1	1:-150	2:-198	3:-195	4:-186	5:-191	6:-203	
1	1:-168	2:-118	3:-191	4:-188	5:-197	6:-195	
1	1:116	2:116	3:-65	4:-30	5:-62	6:-38	
1	1:-148	2:-179	3:-170	4:-165	5:-176	6:-206	
1	1:6	2:24	3:-31	4:-35	5:-47	6:-64	
1	1:97	2:97	3:97	4:-43	5:-60	6:-74	
1	1:-23	2:-32	3:-17	4:-32	5:-59	6:-81	
1	1:-30	2:-21	3:-33	4:-36	5:-51	6:-106	
1	1:109	2:109	3:-33	4:109	5:-51	6:-59	
1	1:-55	2:-34	3:-16	4:-37	5:-89	6:-69	
1	1:0	2:-1	3:-45	4:-49	5:-74	6:-72	
1	1:-15	2:137	3:-20	4:-25	5:-77	6:-62	
1	1:-9	2:145	3:-31	4:-25	5:-86	6:-53	
1	1:-138	2:-147	3:-181	4:-183	5:-200	6:-212	
1	1:-186	2:-169	3:-171	4:-188	5:-209	6:-200	
1	1:-16	2:-25	3:-29	4:-40	5:-53	6:-74	
1	1:-49	2:-15	3:-49	4:-25	5:-57	6:-61	
1	1:-49	2:-32	3:-56	4:-60	5:-78	6:-85	
1	1:-151	2:0	3:-185	4:-171	5:-217	6:-213	
1	1:-36	2:-59	3:-44	4:-50	5:-95	6:-59	
1	1:-58	2:0	3:-46	4:-51	5:-65	6:-65	
1	1:-7	2:144	3:-26	4:-33	5:-68	6:-55	
1	1:-34	2:-28	3:-45	4:-52	5:-97	6:-82	
1	1:-23	2:143	3:-28	4:-43	5:-61	6:-81	
1	1:-146	2:-119	3:-178	4:-193	5:-248	6:-196	
1	1:118	2:-36	3:-85	4:-49	5:-98	6:-122	
1	1:-27	2:8	3:-29	4:-27	5:-48	6:-44	
1	1:-153	2:0	3:-179	4:-188	5:-214	6:-211	
1	1:-23	2:135	3:-45	4:-48	5:-71	6:-59	
1	1:9	2:-2	3:-39	4:-33	5:-55	6:-58	
1	1:-13	2:-19	3:-60	4:-26	5:-47	6:-52	
1	1:-12	2:-15	3:-49	4:-40	5:-64	6:-62	
1	1:116	2:0	3:-68	4:-67	5:-85	6:-81	
1	1:6	2:169	3:-6	4:5	5:-25	6:-23	
1	1:0	2:-28	3:-30	4:-41	5:-50	6:-64	
1	1:-25	2:156	3:-5	4:-28	5:-43	6:-58	
