1	1:141	2:-18	3:-22	4:-11	5:-33	6:-38	
1	1:-26	2:-27	3:-35	4:-32	5:-40	6:-59	
1	1:-53	2:-16	3:-26	4:-27	5:-45	6:-30	
1	1:-57	2:15	3:-17	4:-14	5:-40	6:-20	
1	1:-29	2:-44	3:-51	4:-56	5:-68	6:-63	
1	1:1	2:-14	3:-25	4:-27	5:-59	6:-55	
1	1:-5	2:22	3:-26	4:0	5:-29	6:-38	
1	1:8	2:-44	3:-13	4:-25	5:-43	6:-35	
1	1:-152	2:-156	3:-165	4:-177	5:-190	6:-189	
1	1:-172	2:-175	3:-171	4:-172	5:-202	6:-196	
1	1:-25	2:-37	3:-52	4:-59	5:-59	6:-97	
1	1:-166	2:-159	3:-175	4:-169	5:-177	6:-186	
1	1:-161	2:-173	3:-164	4:-180	5:-197	6:-198	
1	1:-19	2:119	3:-25	4:-37	5:-44	6:-56	
1	1:-1	2:5	3:-16	4:-34	5:-44	6:-25	
1	1:-20	2:-1	3:-21	4:-13	5:-45	6:-38	
1	1:-36	2:-6	3:-42	4:-34	5:-71	6:-71	
1	1:-32	2:-52	3:-50	4:-73	5:-72	6:-76	
1	1:10	2:42	3:10	4:3	5:-22	6:0	
1	1:-25	2:9	3:-13	4:-35	5:-50	6:-33	
1	1:94	2:-42	3:-52	4:-68	5:-83	6:-96	
1	1:0	2:-5	3:-23	4:-27	5:-31	6:-43	
1	1:-12	2:-49	3:-28	4:-42	5:-72	6:-73	
1	1:-165	2:-175	3:-158	4:-167	5:-179	6:-175	
1	1:-145	2:-156	3:-158	4:-169	5:-204	6:-182	
1	1:0	2:-180	3:-189	4:-156	5:-163	6:-194	
1	1:-21	2:-14	3:-26	4:-18	5:-35	6:-43	
1	1:-154	2:-157	3:-175	4:-148	5:-196	6:-177	
1	1:-174	2:-144	3:-166	4:-162	5:-175	6:-167	
1	1:-170	2:-172	3:-172	4:-187	5:-210	6:-205	
1	1:-26	2:-35	3:-36	4:-40	5:-53	6:116	
1	1:-9	2:-55	3:-55	4:-27	5:-27	6:-29	
1	1:-10	2:-7	3:15	4:-24	5:-35	6:-46	
1	1:-39	2:-16	3:-29	4:-38	5:-41	6:-24	
1	1:111	2:-54	3:-66	4:-47	5:-56	6:-39	
1	1:-90	2:-83	3:-70	4:-83	5:-79	6:-68	
1	1:-28	2:-51	3:-22	4:116	5:-3	6:-32	
1	1:115	2:-28	3:0	4:-37	5:115	6:115	
1	1:-50	2:-27	3:-32	4:-34	5:-43	6:-43	
1	1:-149	2:-141	3:0	4:-163	5:-152	6:-149	
1	1:-23	2:115	3:-32	4:-41	5:-39	6:-42	
1	1:-12	2:-32	3:-11	4:-6	5:-17	6:-38	
1	1:-31	2:-37	3:-38	4:-37	5:-55	6:-86	
1	1:115	2:-53	3:-48	4:-64	5:-66	6:-76	
1	1:-70	2:-30	3:-36	4:-27	5:-37	6:-32	
1	1:114	2:0	3:-46	4:-56	5:-67	6:-59	
1	1:-145	2:-155	3:-183	4:-175	5:-188	6:-186	
1	1:-16	2:-29	3:-32	4:-32	5:-23	6:-62	
1	1:-155	2:-173	3:-193	4:-187	5:-206	6:-201	
1	1:-182	2:-155	3:-189	4:-165	5:-178	6:-186	
1	1:-9	2:-47	3:-40	4:-65	5:-75	6:-62	
1	1:-224	2:-153	3:-165	4:-188	5:-224	6:-206	
1	1:-147	2:-155	3:-161	4:-171	5:-181	6:-189	
1	1:-18	2:-17	3:-23	4:-13	5:-38	6:-38	
1	1:2	2:25	3:-5	4:-7	5:-26	6:-26	
1	1:-5	2:-17	3:0	4:-31	5:-35	6:-20	
1	1:-54	2:-57	3:-74	4:-49	5:-76	6:-80	
1	1:-149	2:-172	3:-173	4:-173	5:-198	6:-192	
1	1:-61	2:-74	3:-48	4:-46	5:-74	6:-70	
1	1:-7	2:0	3:-16	4:-29	5:-57	6:-54	
1	1:149	2:6	3:-40	4:-14	5:-50	6:-44	
1	1:-149	2:0	3:-145	4:-159	5:-197	6:-185	
1	1:-14	2:-37	3:-25	4:-26	5:-72	6:-49	
1	1:-151	2:-167	3:-150	4:-167	5:-214	6:-180	
1	1:0	2:-183	3:-142	4:-174	5:-197	6:-219	
1	1:-23	2:-20	3:-45	4:-20	5:-42	6:-68	
1	1:-173	2:-149	3:-169	4:-185	5:-183	6:-182	
1	1:-28	2:-20	3:-33	4:-15	5:-56	6:-46	
1	1:-16	2:-24	3:-14	4:-40	5:-49	6:-52	
1	1:-61	2:-28	3:-25	4:-42	5:-43	6:-55	
1	1:-130	2:-10	3:-42	4:-22	5:-44	6:-32	
1	1:-155	2:-146	3:-149	4:-184	5:-185	6:-198	
1	1:-15	2:-15	3:-32	4:-21	5:-41	6:-65	
1	1:-165	2:-154	3:-169	4:-187	5:-190	6:-186	
1	1:-18	2:-11	3:2	4:-35	5:-44	6:-53	
1	1:-3	2:-15	3:-19	4:-28	5:-31	6:-22	
1	1:-143	2:-158	3:-147	4:-176	5:-200	6:-181	
1	1:-190	2:-157	3:-178	4:-181	5:-182	6:-200	
1	1:-178	2:-150	3:-147	4:-176	5:-184	6:-187	
1	1:172	2:172	3:-13	4:-17	5:-15	6:-29	
1	1:11	2:0	3:-11	4:-10	5:-32	6:-53	
1	1:-154	2:-184	3:-159	4:-157	5:-171	6:-193	
1	1:1	2:9	3:-1	4:-12	5:-26	6:-34	
1	1:-18	2:-27	3:-30	4:-55	5:-61	6:-67	
1	1:3	2:-26	3:-43	4:-34	5:-52	6:-61	
1	1:-4	2:-2	3:-32	4:-35	5:-39	6:-56	
1	1:129	2:-28	3:129	4:-12	5:-44	6:-49	
1	1:-149	2:-155	3:-174	4:-188	5:-199	6:-200	
1	1:-18	2:-44	3:-54	4:-82	5:-86	6:-99	
1	1:-137	2:-158	3:-172	4:-164	5:-172	6:-190	
1	1:-48	2:-73	3:-48	4:-69	5:-62	6:-63	
1	1:-46	2:88	3:88	4:88	5:-56	6:-65	
1	1:-158	2:-179	3:-183	4:-188	5:-228	6:-243	
1	1:-163	2:-143	3:-165	4:-184	5:-190	6:-194	
1	1:-160	2:-166	3:-187	4:-193	5:-191	6:-199	
1	1:-79	2:-96	3:-62	4:-101	5:-100	6:-111	
1	1:-40	2:102	3:-48	4:-76	5:-62	6:-82	
1	1:-25	2:-50	3:-21	4:-39	5:-56	6:-72	
1	1:-191	2:-152	3:-168	4:-175	5:-177	6:-196	
1	1:-154	2:-181	3:-178	4:-178	5:-187	6:-210	
1	1:-24	2:-36	3:-28	4:-33	5:-42	6:-54	
1	1:-35	2:-32	3:-22	4:-41	5:-34	6:-44	
1	1:-24	2:-43	3:-49	4:-46	5:-45	6:-65	
1	1:-26	2:-49	3:-24	4:-56	5:-62	6:-72	
1	1:-28	2:-39	3:-62	4:-55	5:-98	6:-76	
1	1:-44	2:-46	3:-67	4:-65	5:-82	6:-69	
1	1:-7	2:-1	3:-40	4:-57	5:-54	6:-73	
1	1:-35	2:-29	3:-43	4:-38	5:-84	6:-75	
1	1:-151	2:-182	3:-173	4:-192	5:-223	6:-215	
1	1:8	2:-18	3:-9	4:-24	5:-44	6:-38	
1	1:-29	2:-21	3:-38	4:-34	5:-45	6:-64	
1	1:-164	2:-144	3:-155	4:-172	5:-196	6:-192	
1	1:-26	2:-38	3:-38	4:-34	5:-42	6:-56	
1	1:23	2:7	3:10	4:-10	5:-25	6:-33	
1	1:-18	2:-20	3:-49	4:-53	5:-82	6:-68	
1	1:-159	2:-161	3:-172	4:-175	5:-191	6:-213	
1	1:0	2:-138	3:-153	4:-174	5:-193	6:-188	
1	1:-58	2:-19	3:-36	4:-27	5:-64	6:-74	
1	1:12	2:-21	3:-35	4:-13	5:-15	6:-21	
1	1:-31	2:-88	3:-59	4:-41	5:-75	6:-85	
1	1:-36	2:-29	3:-55	4:-60	5:-71	6:-87	
1	1:-161	2:-161	3:-164	4:-178	5:-185	6:-184	
1	1:-7	2:-24	3:-20	4:-26	5:-50	6:-54	
1	1:92	2:92	3:-50	4:-67	5:-98	6:-87	
1	1:-39	2:-44	3:0	4:-24	5:-44	6:-47	
1	1:0	2:-17	3:-31	4:-47	5:-45	6:-45	
1	1:-135	2:-172	3:-148	4:-157	5:-190	6:-186	
1	1:17	2:154	3:-8	4:-12	5:-19	6:-45	
1	1:-3	2:1	3:-12	4:-37	5:-34	6:-51	
1	1:-31	2:-49	3:-21	4:-48	5:-53	6:-52	
1	1:117	2:-19	3:-42	4:-36	5:-60	6:-62	
1	1:1	2:2	3:-7	4:-31	5:-45	6:-34	
1	1:-143	2:-183	3:-178	4:-177	5:-214	6:-185	
1	1:-27	2:-2	3:-21	4:-37	5:-57	6:-62	
1	1:-57	2:-69	3:-58	4:-89	5:-103	6:-106	
1	1:-24	2:-25	3:-40	4:-29	5:-31	6:-45	
1	1:-23	2:-22	3:-43	4:-48	5:-53	6:-51	
1	1:-7	2:-39	3:-9	4:-38	5:-50	6:-47	
1	1:-18	2:135	3:-14	4:-28	5:-41	6:-56	
1	1:-188	2:-207	3:-182	4:-229	5:-236	6:-221	
1	1:13	2:-9	3:-31	4:-33	5:-25	6:-50	
1	1:-172	2:-142	3:-152	4:-175	5:-186	6:-189	
1	1:0	2:-142	3:-155	4:-181	5:-186	6:-174	
1	1:109	2:-10	3:-27	4:-70	5:-83	6:-70	
1	1:-153	2:-168	3:-176	4:-183	5:-196	6:-205	
1	1:-22	2:-48	3:-70	4:-60	5:-71	6:-77	
1	1:-26	2:-45	3:-42	4:-65	5:-69	6:-84	
1	1:-69	2:-14	3:-19	4:-32	5:-50	6:-31	
1	1:-136	2:-243	3:-191	4:-170	5:-188	6:-189	
1	1:-163	2:-156	3:-153	4:-171	5:-178	6:-187	
1	1:-195	2:-150	3:-186	4:-183	5:-172	6:-227	
1	1:-18	2:-43	3:-50	4:-39	5:-59	6:-65	
1	1:-155	2:-171	3:-184	4:-196	5:-188	6:-200	
